Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
Aslanapa	y	10123	آرسلان آپه	Gireği	کره کی						http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1924	 	 	Merkez	Kütahya	Anadolu eyâleti	101
														2	Nahiye	1924	Turkish Republic	1990	 	 	 	Merkez	Kütahya	 
														3	Kaza	1990	Turkish Republic	 	 	 	 	 	Kütahya	 
Asmaca	y	15021	آصمه جه								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Kaza merkezi	1943	Turkish Republic	 	 	 	 	Feke	Adana	 
Asnui̇li̇	y	5220	آصنوايلی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	Pütürge yöresinde (Doğanyol bucağına bağlı Behramlı köyü o zaman “Asnuili’ne bağlı idi.	 	 	Gerger	Kâhta Rum eyâleti	 
Asopos	y	5221	آسوپوس								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1827	 	 	Epidaros	Lakonya	Mora	 
														2	Nahiye	1827	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	Epidaros	Lakonya	Yunanistan	 
Aspi̇nze	y	1036	آسپينزه								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8	 	 	 	 	 	Çıldır eyâleti	119
														2	Kasaba	 	 	 	 	 	 	 	Gürcistan	 
Aştağul	y	10124	آشتاغول	Aştavul							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Merkez	Amasya	Rum eyâleti	155
														2	Köy	 	 	 	 	 	Merkez	Ortaköy	Çorum	 
Astara	y	7808	آستاره											1	Kasaba	 	 	 	 	 	Lenkoran	Bakü	Azerbaycan	 
Astropalya	y	20061	آستروپاليا								http://www.geonames.org/ontology#A.ADMD	Not		1	Nahiye	 	 	 	 	 	Kaliminos	Sakız	Yunanistan	 
Astun	y	1037	آستون							Halen İran’ın Urmiye=Rezaiye kentine bağlı	http://www.geonames.org/ontology#A.ADMD			1	Sancak	1732	http://n2t.net/ark:/99152/p0pf2qbhtsm	 	 	 	 	 	Van eyâleti	175
Aşudi	n	5222	آشودی	GÜNPINAR							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	17. yy.	 	 	Sivas	Sivas-Tokat	Rum eyâleti	155
														2	Kaza	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1865	 	 	 	Sivas	Sivas eyâleti	 
														3	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1865	 	 	 	Darende	Sivas vilâyeti	 
														4	Köy	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Merkez	Darende	Malatya	 
Asvan	y	5223	آصوان	El-Fantine							http://www.geonames.org/ontology#A.ADMD			1	Müdiriyet	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1697	 	 	 	 	Mısır eyâleti	149
														2	Kaza	1697	http://n2t.net/ark:/99152/p0pf2qb3qgh	1698	 	 	 	Circa	Mısır eyâleti	 
Asyago	y	20205	آسياغو									Not		1	Kasaba	 	 	 	 	 	Viçence	Venedik	İtalya	 
Atabey	y	10125	آتابک	Ağrus	آغروس						http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865	 	 	Eğirdir	Hamid	Anadolu eyâleti	101
														2	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Merkez	Hamid	Konya vilâyeti	 
														3	Nahiye	1924	Turkish Republic	1960	 	 	 	Merkez	Isparta	 
														4	Kaza	1960	Turkish Republic	 	 	 	 	 	Isparta	 
Atabey	y	5224	آتابک								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	Manavgat-Serik- Akseki arasında idi.	 	Manavgat	Alâiye	Anadolu eyâleti	101
Atak Maa Li̇ce	y	1038	آتاق مع ليجه								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1597	http://n2t.net/ark:/99152/p0pf2qb5mst	 	 	 	 	 	Diyarbakır eyâleti	121
														2	Kaza	 	 	 	Atak’ın yeri ve yeni adı bulunamadı. Hazro yakınında olduğu sanılıyor.	 	 	Diyarbakır	Diyarbakır eyâleti	 
Atburgazı	y	5225	آت بورغازی	Doğanbey		Güllübahçe					http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Söke	Aydın	 
Atça	y	5226	آتچه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1879	 	 	 	Aydın	Aydın eyâleti	104
														2	Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x	1959	 	 	Nazilli	Aydın	Aydın vilâyeti	 
														3	Nahiye merkezi	1959	Turkish Republic	 	 	 	Kılavuzlar	Nazilli	Aydın	 
														4	Nahiye	 	 	 	 	 	 	Sultanhisar	Aydın	 
Atçeken	y	5227	آت چکن								http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	Atçeken cemaatı Eskiil, Bayburd, Tuz gölünün güneydoğu tarafında ve Turgut kazalarında seyyar yaşarlar, ayrı bir kaza oluştururlardı. Daha sonra bunların yerini, merkezi Cihanbeyli ve Koçhisar olan “Esbkeşân” kazası aldı. Cihanbeyli’nin halen Atçeken mahallesi vardır.	 	 	Konya	Karaman eyâleti	139
Atebât	y	5228	عتبات	Cebelimeris							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Ka‘taba	Taizz	Yemen vilâyeti	181
Atfi̇hi̇ye	y	5229	اطفيحيه	Atfi							http://www.geonames.org/ontology#A.ADMD			1	Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Cize	Mısır	 
Atfi̇hi̇ye Maa Kahi̇re	y	1039	اطفيحيه مع قاهره								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	 	 	Mısır eyâleti	149
Atikân	n	10126	آتکان	KOÇYOLU							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	1926	 	 	Merkez	Mamûretülaziz	Mamûretülaziz	 
														2	Köy	1926	Turkish Republic	 	 	 	Merkez	Baskil	Elâzığ	 
Atina	n	5230	آتنه	PAZAR							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	~1851	 	 	 	Trabzon	Rum eyâleti	155
														2	Kaza	~1851	http://n2t.net/ark:/99152/p0pf2qb8jmh	1868	 	 	 	Lazistan	Trabzon eyâleti	 
														3	Kaza	1868	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	Lazistan	Trabzon vilâyeti	 
														4	Kaza	1924	Turkish Republic	 	 	 	 	 	Rize	 
Ati̇na	y	10127	آتنه	Athenes							http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q1524	1	Dukalık	1205	http://n2t.net/ark:/99152/p03wskdj8bb	1458	 	 	 	 	Atina Dukalığı	 
														2	Kaza	1458	http://n2t.net/ark:/99152/p0pf2qbcrrw	1534	 	 	 	Eğriboz	Rumeli eyâleti	 
														3	Kaza	1534	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	 	Eğriboz	Kaptanpaşa eyâleti	 
														4	Eyâlet merkezi	 	 	1832	 	 	 	 	Atika-Biyotiye eyâleti	 
														5	Başkent	1832	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	 	Yunanistan	 
Ati̇s	y	10128	آطيس								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Yıldızeli	Sivas	Sivas	 
														2	Köy	 	 	 	1928’de Çırçır nahiyesinin bir köyüdür.	 	Çırçır	Yıldızeli	Sivas	 
Atkaracalar	y	5231	آت قره جه لر								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	1990	 	 	 	Kurşunlu	Çankırı	 
														2	Kaza	1990	Turkish Republic	 	 	 	 	 	Çankırı	 
Atma	y	5232	آتمه								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Anis	Yemen	Yemen vilâyeti	181
Atmalu	y	5233	آطمه لو								http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	Eyâlet döneminde Maraş’ta da “Aşiret-i Atmalu” kazası vardır. Aşiretler iskâna tabi tutulunca bu tür kazalar lağvedilmiştir.	 	 	Ankara	Bozok eyâleti	114
Avadır	y	7809	آوادر											1	Kasaba	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	 	Yemen vilâyeti	181
Avanos	y	10129	آوانوس								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1888	 	 	Merkez	Kırşehir	Ankara vilâyeti	102
														2	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x	1924	 	 	 	Kırşehir	Ankara vilâyeti	 
														3	Kaza	1924	Turkish Republic	1954	 	 	 	 	Kırşehir	 
														4	Kaza	1954	Turkish Republic	 	 	 	 	 	Nevşehir	 
Avar	y	20062	آوار								http://www.geonames.org/ontology#A.ADMD	Not		1	Kaza	 	 	 	 	 	 	Dağıstan	Rusya	 
Avara	n	10130	آواره	SERENLİ							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Niksar	Tokat	Sivas vilâyeti	166
														2	Köy	 	 	 	 	 	Merkez	Niksar	Tokat	 
Avcılar	y	15304	آوجيلر								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Kaza	1990	Turkish Republic	 	 	 	 	 	İstanbul	 
Avdan	y	10131	آودان								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Merkez	Kütahya	Anadolu eyâleti	101
														2	Köy	 	 	 	 	 	Sabuncu	Merkez	Kütahya	 
Avi̇ne	y	20005	آوينه								http://www.geonames.org/ontology#P.PPLG	Not		1	Kaza merkezi	 	 	 	 	İstiye	Laşid	Girit	Yunanistan	 
Avlağı	n	10132	آولاغی	KÂMİL							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	 	 	Vezirköprü	Amasya	Sivas	 
														2	Köy	 	 	 	 	 	Kâmil	Osmancık	Çorum	 
Avlon	y	5234	آولون								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	 	Sonisa-Niksar	Rum eyâleti	155
Avlonya	y	1040	آولونيه	Vlore							http://www.geonames.org/ontology#A.ADMD			1	Sancak	1863	http://n2t.net/ark:/99152/p0pf2qbtdts	1867	 	 	 	 	Tırhala eyâleti	 
														2	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Berat	Yanya vilâyeti	 
														3	Kaza	 	 	 	 	 	 	 	Arnavutluk	 
Avlonya	y	1041	آولونيه	Vlore							http://www.geonames.org/ontology#A.ADMD			1	Sancak	1466	http://n2t.net/ark:/99152/p0pf2qbcrrw	 	 	 	 	 	Rumeli eyâleti	156
Avlonya Maa Berat	y	1042	آولونيه مع برات								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	 	Yanya eyâleti	180
Avn	y	5235	عون								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1884	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	El-Hufûf	Necd-i Şarkî	Basra vilâyeti	108
Avniye	n	5236	عونيه	SAVUR							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1851	http://n2t.net/ark:/99152/p0pf2qb8jmh	19. yy.	 	 	 	Divaniye	Bağdad maa Şehrizor eyâleti	107
														2	Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1924	 	 	 	Mardin	Diyarbakır eyâleti	 
														3	Kaza	1924	Turkish Republic	 	 	 	 	 	Mardin	 
Avrama	y	20063	عوره مه								http://www.geonames.org/ontology#A.ADMD	Not		1	Nahiye	 	 	 	 	Petriç	Siroz	Selânik	Yunanistan	 
Avrethi̇sar	y	5237	عورتحصار	Kılkiş							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	 	Selânik	Selânik vilâyeti	163
														2	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Selânik	Yunanistan	 
Avronza	y	20064	آورونزه	Auronzo							http://www.geonames.org/ontology#A.ADMD	Not		1	Kaza	 	 	 	 	 	Belvine	Venedik	İtalya	 
Avşen	n	10133	آوشن	ŞAHİNTEPE							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Kemah	Erzincan	Erzurum vilâyeti	125
														2	Köy	 	 	 	 	 	Oğuz	Kemah	Erzincan	 
Avukat Hacıköy	y	10134	آووقات حاجی کوی								http://www.geonames.org/ontology#P.PPLG			1	Kaza merkezi	 	 	 	 	 	Mecitözü	Amasya	Sivas	 
														2	Kaza merkezi	 	 	 	 	 	 	Mecitözü	Çorum	 
Avyano	y	20065	آويانو	Aviano							http://www.geonames.org/ontology#A.ADMD	Not		1	Kaza	 	 	 	 	 	Odina	Venedik	İtalya	 
Ay Köyü	y	10135	آی کويی								http://www.geonames.org/ontology#P.PPLG			1	Kasaba	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908	 	 	 	Filibe	Rumeli-i Şarkî vilâyeti	156
														2	Kasaba	1908	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Filibe	Bulgaristan	 
Ayamaura	y	1043	آيامورا	Sainta Maura							http://www.geonames.org/ontology#A.ADMD			1	Sancak	 	 	~1555	 	 	 	 	Mora eyâleti	150
														2	Sancak	~1555	http://n2t.net/ark:/99152/p0pf2qb689b	1827	 	 	 	 	Kaptanpaşa eyâleti	 
														3	Kaza (ada)	1827	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	Korfu	Yunanistan	 
Ayancık	y	5238	آيانجيق	İstefan							http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	1924	 	 	 	Sinop	Kastamonu vilâyeti	141
														2	Kaza	1924	Turkish Republic	 	 	 	 	 	Sinop	 
Ayandon Türkeli̇	y	5239	آياندون	Gemiyani							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865	 	 	 	Sinop	Kastamonu eyâleti	141
														2	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	Ayancık	Kastamonu vilâyeti	 
														3	Nahiye	1924	Turkish Republic	1957	 	 	 	Ayancık	Sinop	 
														4	Kaza	1957	Turkish Republic	 	 	 	 	 	Sinop	 
Ayani̇kola	y	5240	آيانيقوله								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	Mirabella	Laşid	Girit vilâyeti	126
														2	Nahiye	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	Mirabella	Laşid	Yunanistan	 
Ayas	y	5241	آياس								http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	 	 	 	Adana	Adana eyâleti	100
														2	Nahiye merkezi	 	 	1959	 	Yumurtalık	Dörtyol	Cebelibereket	Adana	 
														3	Kaza merkezi	1959	Turkish Republic	 	 	 	 	Yumurtalık	Adana	 
Ayaş	y	10136	آياش	Mağara							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1870	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Silifke	İçil	Adana	 
														2	Köy	 	 	 	 	 	Merkez	Erdemli	İçel	 
Ayaş	y	5242	آياش								http://www.geonames.org/ontology#A.ADMD			1	Kaza	?	http://n2t.net/ark:/99152/p0pf2qbzg6v	1840	 	 	 	Ankara	Anadolu eyâleti	101
														2	Kazan	1924	Turkish Republic	 	 	 	 	 	Ankara	 
Ayasefid	n	5243	آياسفيد	Klizman		SANCAKBURNU					http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1573	http://n2t.net/ark:/99152/p0pf2qb8jrp	1841	 	 	İzmir	Sığla	Kaptanpaşa eyâleti	137
														2	Nahiye	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	İzmir	Aydın eyâleti	 
Ayaserandi̇	y	20206	آياسراندی	Santa-Quaronta								Not		1	Kasaba	 	 	 	liman	Delvina	Ergiri	Yanya	Yunanistan	 
Ayasluğ	n	5244	آياسلوغ	Efes, SELÇUK							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	~1555	 	 	 	Aydın	Anadolu eyâleti	101
														2	Nahiye	~1555	http://n2t.net/ark:/99152/p0pf2qb689b	1841	 	 	Kuşadası	Sığla	Kaptanpaşa eyâleti	 
														3	Nahiye	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867	 	 	Kuşadası	Sığla	Aydın eyâleti	 
														4	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1957	 	 	Kuşadası	İzmir	Aydın vilâyeti	 
														5	Nahiye merkezi	1957	Turkish Republic	1957	 	 	Akıncılar	Kuşadası	İzmir	 
														6	Kaza	1957	Turkish Republic	 	 	 	 	 	İzmir	 
Ayastefanos	n	10137	آياستفانوس	BEĞENDİK							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Ahtabolu	Kırkkilise	Edirne	 
														2	Köy	 	 	 	 	 	İğneada	Demirköy	Kırklareli	 
Ayasu	y	10138	آياصو								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	Merkez	Midilli	Cezayir-i Bahr-i Sefid	 
														2	Nahiye	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	Merkez	Midilli	Yunanistan	 
Ayazma	n	10139	آيازمه	İKİZPINAR							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Bafra	Canik	Rum eyâleti	155
														2	Köy	 	 	 	 	 	Boğazkaya	Bafra	Samsun	 
Ayazmend	n	5245	آيازمند	ALTINOVA							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1890	 	 	 	Karesi	Anadolu eyâleti	101
														2	Nahiye	1890	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	Bergama	İzmir	Aydın vilâyeti	 
														3	Nahiye	 	 	 	 	 	 	Ayvalık	Balıkesir	 
Aybastı	y	10140	آی باصدی	Esenli							http://www.geonames.org/ontology#P.PPLG			1	Kaza	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1868	 	 	 	Ordu	Trabzon eyâleti	171
														2	Nahiye	1868	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Ordu	Trabzon	Trabzon vilâyeti	 
														3	Nahiye	1924	Turkish Republic	1959	 	 	 	Merkez	Ordu	 
														4	Kaza	1959	Turkish Republic	 	 	 	 	 	Ordu	 
Aydın	y	104	آيدين	Güzelhisar		İzmir					http://www.geonames.org/ontology#A.ADMD			1	Sancak	1425	http://n2t.net/ark:/99152/p0pf2qbkv24	1841	 	 	 	 	Anadolu eyâleti	101
														2	Eyâlet	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867	 	 	 	 	Aydın eyâleti	 
														3	Vilâyet	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	1850’de eyâlet Mrk. İzmir’e taşındı. İzmir, Aydın vilâyetinin de merkez sancağı oldu.	 	 	 	Aydın vilâyeti	 
Aydın	y	601	آيدين								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q170457	1	 	 	 	 	 	 	 	 	 	 
Aydıncık	y	15305	آيدنجق	Mamûre							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1944	Turkish Republic	1990	 	 	 	Çekerek	Yozgat	 
														2	Kaza	1990	Turkish Republic	 	 	 	 	 	Yozgat	 
Aydıncık	y	5246	آيدنجق	Gilindire	کلندره	İskele					http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1870	http://n2t.net/ark:/99152/p0pf2qbtdts	1933	 	 	Gülnar	İçil	Adana vilâyeti	100
														2	Nahiye	1933	Turkish Republic	1990	 	 	 	Gülnar	İçel	 
														3	Kaza	1990	Turkish Republic	 	 	 	 	 	İçel	 
Aydınkent	y	5247	آيدين کند	İbradi							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Akseki	Antalya	 
Aydınlar	y	15022	آيدينلر	Tillo							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	1924	Turkish Republic	1990	 	 	 	Merkez	Siirt	 
														2	Kaza	1990	Turkish Republic	 	 	 	 	 	Siirt	 
Aydınlar	y	10141	آيدينلر	Muşar		Aşağı kuluşağı					http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1928	 	 	Merkez	Malatya	Rum eyâleti	155
														2	Nahiye	1928	Turkish Republic	 	 	 	 	Baskil	Elâzığ	 
Aydıntepe	y	5248	آيدين تپه	Hart	خارت						http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1927	 	 	Bayburt	Erzurum	Erzurum vilâyeti	125
														2	Nahiye	1927	Turkish Republic	1989	 	 	 	Bayburt	Gümüşhane	 
														3	Kaza	1989	Turkish Republic	 	 	 	 	 	Bayburt	 
Aydıncık	n	5249	آيدنجق	EDİNCİK							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1867	 	 	 	Hudavendigâr	Anadolu eyâleti	101
														2	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Bandırma	Karesi	Hudavendigâr vilâyeti	 
														3	Nahiye	1924	Turkish Republic	 	 	 	 	Bandırma	Balıkesir	 
Aydonat	y	5250	آيدونات	Paramithia							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	 	Yanya	Yanya vilâyeti	180
														2	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Yanya	Yunanistan	 
Aydos	y	5251	آيدوس	Aytos							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908	 	 	 	İslimiye	Rumeli-i Şarkî vilâyeti	156
														2	Kaza	1908	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Burgaz	Bulgaristan	 
Ayle	y	20207	عايله									Not		1	Kasaba	 	 	 	 	 	 	Venedik	İtalya	 
Aylı	y	10143	آيلی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Merkez	Sivas	Sivas vilâyeti	166
														2	Köy	 	 	 	 	 	Kayadibi	Merkez	Sivas	 
Ayn-ı İsa	y	5252	عين عيسی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	Rakka	Urfa	Halep	 
Ayn-ı Sefi̇ne	y	10144	عين سفينه								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	 	 	 	Merkez	Musul	Diyarbakır eyâleti	121
Ayn-ı Terazu	y	5253	عين ترازو								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1856	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Cebel-i Dürzi	Sayda eyâleti	160
Aynaroz	y	5254	آيناروز	Ayionoros		Karis					http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	 	Selânik	Selânik vilâyeti	163
														2	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Selânik	Yunanistan	 
Ayni̇	y	10145	عينی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye merkezi	 	 	 	 	 	Bağgöze	Eruh	Siirt	 
Ayntâb	n	349	عينتاب	Gazi Ayntâb		GAZİANTEP					http://www.geonames.org/ontology#A.ADMD			1	Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1520	 	 	 	 	Arap vilâyeti	103
														2	Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1830	 	 	 	 	Zülkadriye eyâleti	 
														3	Sancak	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v	1865	 	 	 	 	Halep eyâleti	 
														4	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	 	Halep vilâyeti	 
														5	Vilâyet	1924	Turkish Republic	 	 	 	 	 	Gaziantep	 
Aynu’l-arûs	y	5255	عين العروس								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	Elbistan’ın Ağcaşar köyü civarında idi.	 	Maraş	Maraş	Zülkadriye eyâleti	183
Aynu’l-câlût	y	7810	عين الجالوت											1	Kasaba	 	 	 	 	 	Nablus	Nablus	Beyrut vilâyeti	 
Aynu’l-kürûm	y	5256	عين الکروم								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Hamidiye	Hama	Suriye vilâyeti	168
Aynu’t-temr	y	10146	عين التمر								http://www.geonames.org/ontology#P.PPLG			1	Antik şehir	 	 	 	 	Küfe	Necef-i Eşref	Kerbelâ	Bağdad	 
Ayrancı	y	5257	آيرانجی	Osmaniye							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	1989	 	 	 	Ereğli	Konya	 
														2	Kaza	1989	Turkish Republic	 	 	 	 	 	Karaman	 
Ayvacık	y	10147	آيواجق								http://www.geonames.org/ontology#P.PPLG			1	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Canik	Trabzon eyâleti	171
														2	Köy	 	 	1924	 	 	Merkez	Çarşamba	Trabzon	 
														3	Nahiye	1924	Turkish Republic	1990	 	 	 	Çarşamba	Samsun	 
														4	Kaza	1990	Turkish Republic	 	 	 	 	 	Samsun	 
Ayvacık	y	10148	آيواجق								http://www.geonames.org/ontology#P.PPLG			1	Nahiye merkezi	 	 	 	 	 	Tütüncü	Gönen	Balısekir	 
Ayvacık	y	5258	آيواجق	Kızılcatuzla	قزيلجه طوزله						http://www.geonames.org/ontology#A.ADMD			1	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1886	 	 	 	Biga	Hudavendigâr eyâleti	133
