Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
Abus	y	5010	عبوس								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	İbb	Taizz	Yemen vilâyeti	181
Abvi̇n	y	10005	عبوين								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	 	 	Merkez	Kudüs	Filistin	 
Acacı	y	10006	آجاجی	Acacıhüyük							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	Zile	Tokat	Sivas	Rum eyâleti	155
														2	Köy	 	 	 	 	 	Merkez	Çekerek	Yozgat	 
Acar	y	10007	آجار	Svejen							http://www.geonames.org/ontology#P.PPLG			1	Kaza merkezi	 	 	 	 	 	Karacadağ	Filibe	Bulgaristan	 
														2	Köy	 	 	 	 	 	Karlıova	Filibe	Bulgaristan	 
Acareteyn	y	1001	آجارتين	Acara-i Ulyâ ve Acara-i Süfl.		ACARİSTAN					http://www.geonames.org/ontology#A.ADMD			1	Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8	1828	 	 	 	 	Çıldır eyâleti	119
														2	Kaza	1828	http://n2t.net/ark:/99152/p0pf2qbzg6v	1878	 	 	 	Batum	Trabzon eyâleti	 
														3	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Batum	Rusya	 
														4	Kaza	 	 	 	 	 	 	 	Gürcistan	 
														5	Özerk bölge	 	 	 	 	 	 	 	Gürcistan	 
Acıgöl	y	15000	آجی گول								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	1990	 	 	 	Merkez	Nevşehir	 
														2	Kaza	1990	Turkish Republic	 	 	 	 	 	Nevşehir	 
Aci̇lat	y	5011	عجيلات								http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	 	 	 	Trablusgarb	Libya	 
Acıpayam	y	5012	آجی پايام	Asikaraağaç, Garbîkaraağaç							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1888	 	 	 	Hamid	Anadolu eyâleti	101
														2	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x	1924	 	 	 	Denizli	Aydın vilâyeti	 
														3	Kaza	1924	Turkish Republic	 	 	 	 	 	Denizli	 
Acıpınar	y	10008	آجی پيگار								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	1933	 	 	Aksaray	Niğde	Konya vilâyeti	144
														2	Nahiye	1933	Turkish Republic	1989	 	 	 	Aksaray	Niğde	 
														3	Nahiye	1989	Turkish Republic	 	 	 	 	Merkez	Aksaray	 
Aci̇r	y	5013	عجير								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	El-Hufûf	Necd-i Şerif	Basra	 
Acısu	y	10009	آجی صو								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Zile	Tokat	Sivas vilâyeti	166
														2	Köy	 	 	 	 	 	İğdir	Zile	Tokat	 
Aclun	y	1002	عجلون								http://www.geonames.org/ontology#A.ADMD			1	Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1865	 	 	 	 	Şam eyâleti	159
														2	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1964	 	 	 	Havran	Suriye vilâyeti	 
														3	Kaza	1964	Turkish Republic	 	 	 	 	İrbit	Suriye	 
Aclun Ve Salhad	y	1003	عجلون وصلحد								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	 	 	 	 	 	Arap vilâyeti	103
Açmi̇yaçi̇n	y	5014	اچمياچين	Etchmiadzin							http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.	 	 	Erivan	Ermenistan	 
Acur	y	1004	عجور	Acur Kal‘a							http://www.geonames.org/ontology#A.ADMD			1	Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	 	 	 	 	 	Şehrizor eyâleti	161
Acûze	y	10010	عجوزه								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	 	 	Merkez	Musul	Diyarbakır eyâleti	121
Acyud	y	20002	آجيود	ADJUD							http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q357784	1	Şehir	 	 	 	 	 	Botine	Boğdan	Romanya	 
Ada	y	20196	آطه									Not		1	Ada	 	 	 	 	 	 	Bakis	Macaristan	 
Ada	y	10011	آطه								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Merkez	Edirne	Edirne vilâyeti	122
														2	Köy	 	 	 	 	 	Küplü	Meriç	Edirne	 
Adakale	y	15001	آطه قلعه								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Kaza merkezi	1949	Turkish Republic	 	 	 	 	Ardanuç	Artvin	 
Adakalesi̇	y	10012	آطه قلعه سی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	Merkez	Vidin	Vidin eyâleti	178
Adaklı	y	10013	آداقلی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye merkezi	 	 	 	 	 	Göktaş	Borçka	Artvin	 
Adaklı	y	5016	آداقلی	Hösnek	هوسنک	Azakpert					http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1936	 	 	Kiğı	Erzurum	Erzurum vilâyeti	125
														2	Nahiye	1936	Turkish Republic	1990	 	 	 	Kiğı	Bingöl	 
														3	Kaza	1990	Turkish Republic	 	 	 	 	 	Bingöl	 
Adaksu	y	10014	آداقصو	Şebboy							http://www.geonames.org/ontology#P.PPLG			1	Köy	 	 	 	 	 	Sultanmud	Malazgirt	Bitlis	 
														2	Nahiye merkezi	 	 	 	 	 	Karahasan	Malazgirt	Muş	 
Adalar	y	1005	آطه لر	Büyükada							http://www.geonames.org/ontology#A.ADMD			1	Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	 	Şehremâneti	 
														2	Kaza	 	 	1909	 	 	 	 	Şehremâneti	 
														3	Kaza	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	 	İstanbul	 
Adana	y	100	آطنه (ادنه)								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1520	 	 	 	 	Arap vilâyeti	103
														2	Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1608	 	 	 	 	Halep eyâleti	 
														3	Eyâlet	1608	http://n2t.net/ark:/99152/p0pf2qbv3zv	1865	 	 	 	 	Adana eyâleti	 
														4	Sancak	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1869	 	 	 	 	Halep vilâyeti	 
														5	Vilâyet	1869	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	 	Adana vilâyeti	 
Adana	y	10015	آطنه (ادنه)								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q38545	1	 	 	 	 	 	 	 	 	 	 
