	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
6222	Yenimüslüman	يکی مسلمان	BOZTEPE						Nahiye	~1530			Zile	Sivas-Tokat	Rum eyâleti	Nahiye	1924				Zile	Tokat																																																									
6223	Yeninahiye	يکی ناحيه	BARBAROS						Nahiye	1895			Çeşme	İzmir	Aydın vilâyeti	Köy				Uzunkuyu	Urla	İzmir																																																									
6224	YENİPAZAR	يکی بازار							Nahiye	~1530			Bozdoğan	Aydın	Anadolu eyâleti	Kaza	1841				Aydın	Aydın eyâleti	Nahiye	1867			Bozdoğan	Aydın	Aydın vilâyeti	Kaza	1957				Aydın																																												
6225	YENİPAZAR	يکی بازار	Novipazar	Seniçe					Sancak	1580					Bosna eyâleti	Sancak	1877					Kosova vilâyeti	Sancak	1913					Yugoslavya																																																		
6226	YENİPAZAR	يکی بازار	Novipazar						Kaza	1851				Şumnu	Silistre eyâleti	Kaza	1908				Şumnu	Bulgaristan																																																									
6227	YENİPAZAR	يکی بازار							Nahiye	1926				Gölpazarı	Bilecik	Kaza	~1990					Bilecik																																																									
6228	YENİPAZAR	يکی بازار	Keller						Nahiye					Boğazlıyan	Yozgat																																																																
6229	YENİŞAR BADEMLİ	يکی شاربادملی							Nahiye					Şarkikaraağaç	Isparta	Kaza	~1990					Isparta																																																									
6230	YENİŞEHİR	يکی شهر	Yenişehir Fener	Larissa				https://www.wikidata.org/wiki/Q178405	Eyâlet merkezi	1854					Tırhala eyâleti	Kaza	1867				Tırhala	Yanya vilâyeti	Kaza	1881				Tırhala	Yunanistan																																																https://www.wikidata.org/wiki/Special:EntityData/Q178405.json	39.633333333333	22.583333333333
6231	YENİŞEHİR	يکی شهر					Osmanlı Devleti’nin ikinci merkezi. İlk merkez Karacaşehir.		Kaza	~1400				Hudavendigâr	Anadolu eyâleti	Kaza	1926					Bursa																																																									
6232	YENİŞEHİR	يکی شهر							Kaza	~1530				Aydın	Anadolu eyâleti	Köy				Gökçen	Tire	İzmir																																																									
6233	YENİŞEHİR	يکی شهر							Nahiye	~1870			Siverek	Diyarbakır	Diyarbakır vilâyeti																																																																
6234	YENİŞEHİR	يکی شهر						https://www.wikidata.org/wiki/Q1736413	Sancak merkezi	1867				Laşid	Girit vilâyeti																																																														https://www.wikidata.org/wiki/Special:EntityData/Q1736413.json	35.283333333333	25.6
6235	YENİSU	يکی صو	Canut	Nederan					Köy				Valir	Muş	Bitlis vilâyeti	Nahiye	1936				Genç	Bingöl																																																									
6236	YENİVAROŞ	يکی واروش							Kaza	1877				Yenipazar	Kosova vilâyeti																																																																
6237	YENİYOL	يکی يول							Nahiye merkezi				Borçka	Merkez	Artvin	Nahiye merkezi	1928				Borçka	Artvin																																																									
6238	YENİZAĞRA	يکی زغره	Yenice-i Zağra						Kaza	1878				Eskizağra	Rumeli-i Şarkî vilâyeti	Kaza	1908				İslimiye	Bulgaristan																																																									
6239	YENŞİYE	ينشيه							Kaza	1851				Divaniye	Bağdad maa Şehrizor eyâleti																																																																
6240	YEPTU	يپتو							Eyâlet						Macaristan																																																																
6241	YERE	يره							Nahiye	1867			Merkez	Midilli	Cezayir-i Bahr-i Sefid vilâyeti	Nahiye	1913			Merkez	Midilli	Yunanistan																																																									
6242	YEREPATRA	يره پتره							Kaza	1867				Laşid	Girit vilâyeti	Kaza	1913			Laşid	Girit	Yunanistan																																																									
6243	YERİM	يريم							Kaza	1871				Yemen	Yemen vilâyeti																																																																
6244	YERKESİK	يرکسيک	Yerkesüğü						Köy				Muğla	Menteşe	Anadolu eyâleti	Kaza	1867				Menteşe	Aydın eyâleti	Nahiye	1867			Muğla	Menteşe	Aydın vilâyeti	Nahiye	1924			Merkez	Muğla																																												
6245	YERKÖY	ير کوی					Kızılkoca’nın Hüyük k.yü bu kazanın merkezi olmalıdır. Yerk.y’ün “Hüyük” mahallesi var.		Köy				Kızılkoca	Merkez	Yozgat	Nahiye	1935				Merkez	Yozgat	Kaza	1945					Yozgat																																																		
6246	YERLİSU	يرلی صو	Çamlıca						Nahiye					Keşan	Edirne																																																																
6247	YEŞİLÇAY	يشيل چای	Ağva						Nahiye					Şile	İstanbul																																																																
6248	YEŞİLCE	يشيلجه	Yavadı						Nahiye	1867			Hamidiye	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1933				Mesudiye	Ordu																																																									
6249	YEŞİLDERE	يشيل دره	İbrala						Nahiye					Karaman	Konya	Nahiye	1989				Merkez	Karaman																																																									
6250	YEŞİLHİSAR	يشيل حصار	Karahisar-ı Develü	Karahisar					Kaza					Niğde	Karaman eyâleti	Kaza	1846				Kayseri	Bozok eyâleti	Nahiye	1867			İncesu	Kayseri	Ankara vilâyeti	Kaza	1948				Kayseri																																												
6251	YEŞİLKENT	يشيل کند	Erzin						Nahiye					Dörtyol	Hatay																																																																
6252	YEŞİLKÖY	يشيل کوی	Ayastefanos	San-Stefano				https://www.wikidata.org/wiki/Q1010949	Şehir					Bakırköy	İstanbul																																																														https://www.wikidata.org/wiki/Special:EntityData/Q1010949.json	40.966666666667	28.833333333333
6253	YEŞİLLİ	يشيللی	Rişmil						Kasaba				Merkez	Merkez	Mardin	Kaza	~1990					Mardin																																																									
6254	YEŞİLOVA	يشيل اووه	İrle	Satırlar					Kaza	~1530				Hamid	Anadolu eyâleti	Nahiye	1890			Garbîkaraağaç	Denizli	Aydın vilâyeti	Nahiye	1924				Acıpayam	Denizli	Kaza	1936				Burdur																																												
6255	YEŞİLOVA	يشيل اووه							Nahiye					Aksasary	Niğde	Nahiye	1989				Merkez	Aksaray																																																									
6256	YEŞİLVADİ	يشيل وادی	Heciz						Nahiye merkezi				Alacalı	Şile	İstanbul																																																																
6257	YEŞİLYAZI	يشيل يازی	Havaçor	Zerenik					Nahiye					Ovacık	Tunceli																																																																
6258	YEŞİLYURT	يشيل يورد	Çırmıktı	İsmetpaşa					Köy				Merkez	Malatya	Malatya Mamûretülaziz	Kasaba	1918				Merkez	Malatya	Kaza	1957					Malatya																																																		
6259	YEŞİLYURT	يشيل يورد	Arabacımusa						Kasaba				Merkez	Artova	Tokat	Kaza	~1990					Tokat																																																									
6260	YEŞİLYURT	يشيل يورد	Pisi						Nahiye					Merkez	Muğla																																																																
6261	YEŞİLYURT	يشيل يورد							Nahiye					Alaşehir	Manisa																																																																
6262	YIĞILCA	ييغلجه	Çayırlıda Ahmetçiler						Nahiye	1904				Düzce	Bolu Kastamonu vilâyeti	Kaza	1954					Bolu	Kaza	1999					Düzce																																																		
6263	YİĞİTLER	يکيدلر	Yiğitaliler						Nahiye	1924				Bayramiç	Çanakkale																																																																
