	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
0	A’YUC	اعيوج							Nahiye				Cezire	Bağdad	Bağdad	Nahiye						Irak																																																									
1	A’ZAMİYE	اعظميه							Kaza	18. yy.				Bağdad	Bağdad maa Şehrizor eyâleti																																																																
2	A’ZAZ	اعزاز							Nahiye	1517				Halep	Arap vilâyeti	Nahiye	1865				Halep	Suriye vilâyeti																																																									
3	A’ZAZ FELLAH	اعزازفلاح							Nahiye	1865			Kilis	Halep	Halep vilâyeti	Nahiye					Halep	Suriye																																																									
4	A’ZAZ TÜRKMEN	اعزازترکمان							Kaza	19. yy.				Kilis	Halep eyâleti	Nahiye	1865				Kilis	Halep vilâyeti	Nahiye					Halep	Suriye																																																		
5	Âb-ı Safi	آب صافی	ALPSOFU	KARAPÜRÇEK					Kaza	1871				Kocaeli	Hudavendigâr eyâleti	Nahiye					Adapazarı	İzmit	Nahiye	1954				Akyazı	Sakarya																																																		
6	ABADAN	عبادان						https://www.wikidata.org/wiki/Q63049	Şehir						Basra	Şehir	1847	Erzurum Antlaşmasıyla İran’a verildi.				İran																																																							https://www.wikidata.org/wiki/Special:EntityData/Q63049.json	30.35	48.283333333333
7	ABADYUT	آباديوت							Köy		Köyler grubu			Girit	Yunanistan																																																																
8	ABANA	آبانا	Keynolu, Evrenya	Aşağı Abana					Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865		İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza	1945					Kastamonu	Nahiye	1953		Bozkurt	Kastamonu	Kastamonu	Kaza	1968				Kastamonu																																						
9	ABANO	آبانو						https://www.wikidata.org/wiki/Q34603	Şehir					Venedik	İtalya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q34603.json	45.3520158	11.7569076
10	ABBASİYE	عباسيه							Kasaba					Kayrevan	Tunus																																																																
11	ABDAL	آبدال							Kaza merkezi					Piraziz	Giresun																																																																
12	ABDÜLVEHHAB	عبدالوهاب							Sancak	1539					Yemen eyâleti																																																																
13	ABDURRAHMAN BEYOBASI	عبدالرحمن بک اوبه سی							Nahiye					Keskin	Ankara	Nahiye merkezi	1944			Balışeyh	Kırıkkale	Ankara	Kaza merkezi	1989				Balışeyh	Kırıkkale																																																		
14	ABDURRAHMAN GAZİ	عبدالرحمن غازی							Nahiye		Kartal’ın nahiye dönemindeki adıdır.			Beykoz	İstanbul																																																																
15	ABES	عبس							Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																																
16	ABGÛR	آبگور							Kaza		Çınar ilçe merkezinde kalmış olabilir			Diyarbakır	Diyarbakır eyâleti																																																																
17	ABHA	ابها						https://www.wikidata.org/wiki/Q190948	Sancak merkezi					Asir	Yemen vilâyeti																																																														https://www.wikidata.org/wiki/Special:EntityData/Q190948.json	18.216666666667	42.5
18	ABHAZ	ابخاز	Sohumkale, Kutayis						İtibari eyâlet	1578					Abhaz eyâleti	Muhtar idare	1804					Muhtar idare	Muhtar idare	1810	Son dönemde Mrk. “Kutayis” idi.)				Rusya yönetimi																																																		
19	ABONİ	آبونی						https://www.wikidata.org/wiki/Q480421	Şehir						Macaristan																																																														https://www.wikidata.org/wiki/Special:EntityData/Q480421.json	47.189166666667	20.005277777778
20	ABRENK	آبرنک							Nahiye	1877			Eğin	Mamûretülaziz	Mamûretülaziz vilâyeti	Köy				Merkez	Kemaliye	Erzincan																																																									
21	ABŞEKER	آب شکر							Nahiye merkezi				Akdemir	Pertek	Tunceli																																																																
22	ABUS	عبوس							Nahiye	1871			İbb	Taizz	Yemen vilâyeti																																																																
23	ABVİN	عبوين							Nahiye				Merkez	Kudüs	Filistin																																																																
24	ACACI	آجاجی	Acacıhüyük						Nahiye	~1530		Zile	Tokat	Sivas	Rum eyâleti	Köy				Merkez	Çekerek	Yozgat																																																									
25	ACAR	آجار	Svejen						Kaza merkezi				Karacadağ	Filibe	Bulgaristan	Köy				Karlıova	Filibe	Bulgaristan																																																									
26	ACARETEYN	آجارتين	Acara-i Ulyâ ve Acara-i Süfl.	ACARİSTAN					Sancak	1578					Çıldır eyâleti	Kaza	1828				Batum	Trabzon eyâleti	Kaza	1878				Batum	Rusya	Kaza					Gürcistan	Özerk bölge					Gürcistan																																						
27	ACIGÖL	آجی گول							Nahiye					Merkez	Nevşehir	Kaza	1990					Nevşehir																																																									
28	ACİLAT	عجيلات							Kaza					Trablusgarb	Libya																																																																
29	ACIPAYAM	آجی پايام	Asikaraağaç, Garbîkaraağaç						Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																																		
30	ACIPINAR	آجی پيگار							Nahiye				Aksaray	Niğde	Konya vilâyeti	Nahiye	1933				Aksaray	Niğde	Nahiye	1989				Merkez	Aksaray																																																		
31	ACİR	عجير							Nahiye				El-Hufûf	Necd-i Şerif	Basra																																																																
32	ACISU	آجی صو							Nahiye	1865			Zile	Tokat	Sivas vilâyeti	Köy				İğdir	Zile	Tokat																																																									
33	ACLUN	عجلون							Sancak	16. yy.					Şam eyâleti	Kaza	1865				Havran	Suriye vilâyeti	Kaza	1964				İrbit	Suriye																																																		
34	ACLUN VE SALHAD	عجلون وصلحد							Sancak	1517					Arap vilâyeti																																																																
35	AÇMİYAÇİN	اچمياچين	Etchmiadzin						Kaza		Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.			Erivan	Ermenistan																																																																
36	ACUR	عجور	Acur Kal‘a						Sancak	17. yy.					Şehrizor eyâleti																																																																
37	ACÛZE	عجوزه							Nahiye				Merkez	Musul	Diyarbakır eyâleti																																																																
38	ACYUD	آجيود	ADJUD					https://www.wikidata.org/wiki/Q357784	Şehir				Botine	Boğdan	Romanya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q357784.json	46.1	27.179722222222
39	ADA	آطه							Nahiye	1865			Merkez	Edirne	Edirne vilâyeti	Köy				Küplü	Meriç	Edirne																																																									
40	ADA	آطه							Ada					Bakis	Macaristan																																																																
41	Adagide	آطه گيده	OVAKENT						Nahiye					Ödemiş	İzmir																																																																
42	ADAKALE	آطه قلعه							Kaza merkezi	1949				Ardanuç	Artvin																																																																
43	ADAKALESİ	آطه قلعه سی							Nahiye	1846			Merkez	Vidin	Vidin eyâleti																																																																
44	ADAKLI	آداقلی	Hösnek	Azakpert					Nahiye	1865			Kiğı	Erzurum	Erzurum	Nahiye	1936				Kiğı	Bingöl	Kaza	1990					Bingöl																																																		
45	ADAKLI	آداقلی							Nahiye merkezi				Göktaş	Borçka	Artvin																																																																
46	ADAKSU	آداقصو	Şebboy						Köy				Sultanmud	Malazgirt	Bitlis	Nahiye merkezi				Karahasan	Malazgirt	Muş																																																									
47	Adala	آطله	KARATAŞ						Kaza	~1530				Saruhan	Anadolu eyâleti	Nahiye	1882				Salihli	Manisa																																																									
48	ADALAR	آطه لر	Büyükada						Sancak	1878					Şehremâneti	Kaza						Şehremâneti	Kaza	1909					İstanbul																																																		
49	ADANA	آطنه (ادنه)							Sancak	1517					Arap vilâyeti	Sancak	1520					Halep eyâleti	Eyâlet	1608					Adana eyâleti	Sancak	1865				Halep vilâyeti	Vilâyet	1869				Adana vilâyeti																																						
50	ADAÖREN	آطه ويران	Adaviran						Nahiye					Beypazarı	Ankara	Köy				Merkez	Beypazarı	Ankara																																																									
51	ADAPAZARI	آطه پازاری	Ada					https://www.wikidata.org/wiki/Q175323	Kaza	~1530				Kocaeli	Anadolu eyâleti	Kaza	1878				Kocaeli	Şehremâneti	Kaza	1924					Kocaeli	Vilâyet merkezi	1954				Sakarya																																										https://www.wikidata.org/wiki/Special:EntityData/Q175323.json	40.783333333333	30.4
52	ADEM	آدم							Nahiye		Bahreyn ve Umman’da da bu adda nahiyeler vardır			Hicaz	S. Arabistan																																																																
53	ADEN	عدن							Sancak	1539				Taizz	Yemen eyâleti	Kaza	1630				Taizz	Yemen eyâleti																																																									
54	ADESSE	آدسّه	Vodina						Kaza				Selânik	Selânik	Yunanistan																																																																
55	ADİD	عديد							Nahiye	1875			Katar	Basra	Basra vilâyeti																																																																
56	ADİLCEVAZ	عادلجواز							Sancak	1550					Van eyâleti	Kaza	1846				Van	Van eyâleti	Kaza	1912				Van	Van vilâyeti	Nahiye	1926			Ahlat	Bitlis	Kaza	1936				Bitlis																																						
57	ADIYAMAN	آدی يامان	Hısn-ı Mansur						Kaza	1924					Malatya	Vilâyet	1954					Adıyaman																																																									
58	ADLİYE	عدليه							Kaza	1864				Vidin	Tuna vilâyeti																																																																
59	Adranos	آطرانوس	ORHANELİ						Kaza					Hudavendigâr	Anadolu eyâleti	Kaza	1867				Bursa	Hudavendigâr vilâyeti	Kaza	1924					Bursa																																																		
60	ADRİYA	آدريا						https://www.wikidata.org/wiki/Q34615	Şehir					Venedik	İtalya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q34615.json	45.05	12.05
61	AFAR	عفار							Nahiye	1871			Hıcce	Sana	Yemen vilâyeti																																																																
62	Afgan	افغان	GÜNDOĞAN						Nahiye	1865			Karaman	Konya	Konya vilâyeti	Köy				Bucakkışla	Merkez	Karaman																																																									
63	AFŞAR	آفشار							Kaza	~1530				Hamid	Anadolu eyâleti	Nahiye	1865				Şarkikaraağaç	Konya vilâyeti	Köy				Merkez	Gelendost	Isparta																																																		
64	AFŞAR	آفشار	Avşar						Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Akıncılar	Suşehri	Sivas																																																									
65	AFŞİN	آفشين	Yarpuz, Efsus						Nahiye					Elbistan	Maraş	Kaza	1944					Kahramanmaraş																																																									
66	AFYONKARAHİSAR	آفيون قره حصار	Afyon	Karahisar-ı Sahib			Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.		Sancak	1428					Anadolu eyâleti	Sancak	1841					Hudavendigâr eyâleti	Sancak	1867					Hudavendigâr vilâyeti	Vilâyet	1924				Afyonkarahisar																																												
67	AĞABEYLİ	آغا بکلی	Bertiz						Nahiye					Merkez	Kahramanmaraş																																																																
68	AĞAÇELİ	آغاچ ايلی	Ilıcalar, Fahran						Nahiye					Merkez	Bingöl																																																																
69	AĞAÇLI	آغاچلی	Çıska, Cıksı						Nahiye	19. yy.			Merkez	Âmid	Diyarbakır eyâleti	Nahiye	1924				Kulp	Diyarbakır vilâyeti																																																									
70	AĞAÇLI	آغاچلی							Kaza	1887				Kocaeli	Hudavendigâr vilâyeti																																																																
71	AĞAÇÖREN	آغاچ اوره ن	Panlı						Nahiye	1924				Şereflikoçhisar	Aksaray	Nahiye	1933				Şereflikoçhisar	Ankara	Kaza	1990					Aksaray																																																		
72	AĞAKİS	آغاکس							Sancak	1550					Van eyâleti	Kaza	1830				Van	Van eyâleti																																																									
73	AĞCALAR	آغجه لر	Kale-i Sebûke						Nahiye					Bazyan	Musul vilâyeti																																																																
74	AĞCALAR ve ASKER	آغجه لر و عسکر							Nahiye				Merkez	Süleymaniye	Bağdad eyâleti																																																																
75	AĞIN	آغين							Nahiye	19. yy.			Merkez	Arapkir	Diyarbakır eyâleti	Nahiye				Kemaliye	Malatya	Mamûretülaziz vilâyeti	Kaza	1954					Elâzığ																																																		
76	AĞLASUN	آغلاسون							Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1846				Hamid	Karaman eyâleti	Nahiye	1865			Merkez	Burdur	Konya vilâyeti	Kaza	1958				Burdur																																												
77	AĞLI	آغلی							Nahiye					Küre	Kastamonu	Kaza	~1990					Kastamonu																																																									
78	Agonya	آغونيه	HAMDİBEY	Koyuneli					Nahiye	~1530			Balya	Biga	Anadolu eyâleti	Nahiye	1909				Edremit	Karesi sancağı	Nahiye		Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli k.yü halen Yenice’nin Hamdibey bucağıdır.			Edremit	Balıkesir																																																		
79	AĞRI	آغری	Karaköse						Vilâyet	1938	~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.				Ağrı																																																																
80	AĞRIBOZ	آغريبوز	Eğriboz	Eubee			Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.		Sancak	1470					Rumeli eyâleti	Sancak	1533					Kaptanpaşa eyâleti	Eyâlet	1829					Yunanistan																																																		
81	Ağrus	آغروس	ATABEY						Nahiye	~1530			Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1865			Merkez	Hamid	Konya vilâyeti	Nahiye	1924				Merkez	Isparta	Kaza					Isparta																																												
82	Ağunsos	آغنصوص	ÇAYIRÖZÜ						Nahiye	1865			Bayburt	Erzurum	Erzurum vilâyeti	Köy					Merkez	Bayburt Gümüşhane	Köy				Merkez	Merkez	Bayburt																																																		
83	AĞUSTOS	آغوستوس	Niyaoste						Nahiye				Karaferye	Selânik	Yunanistan																																																																
84	Ağva	آغوا	YEŞİLÇAY						Nahiye	1926				Şile	İstanbul																																																																
85	Ağvanis	آغوانيس	GÖLOVA						Nahiye	1867			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1924				Suşehri	Şebinkarahisar	Nahiye	1933				Suşehri	Sivas vilâyeti	Kaza	1990				Sivas																																												
86	AHALT	آحلت							Kaza merkezi	1950				Yusufeli	Artvin																																																																
87	AHAT	احد							Nahiye	1865			Sultaniye	Gümülcine	Edirne vilâyeti	Nahiye	1919			Sultaniye	Gümülcine	Yunanistan																																																									
88	AHEM	عا هم							Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																																
89	AHİÇELEBİ	آخی چلبی	Smoljan	Paşmaklı					Kaza	1877				Filibe	Edirne vilâyeti	Kaza					Gümülcine	Edirne	Kaza	1919					Yunanistan																																																		
90	AHILKALAK ve MAÇAHEL	آخالقلاک وماچه خل							Sancak	1578					Çıldır eyâleti																																																																
91	AHIRLI	آخورلی							Nahiye					Bozkır	Konya	Kaza	1990					Konya																																																									
92	AHISKA	آخسخه	Ahısha					https://www.wikidata.org/wiki/Q212546	Eyâlet merkezi	1625					Çıldır eyâleti	Eyâlet merkezi	1828					Rusya yönetimi	Şehir						Gürcistan yönetimi																																																https://www.wikidata.org/wiki/Special:EntityData/Q212546.json	41.638889	42.986111
93	AHLAT	آخلاط						https://www.wikidata.org/wiki/Q400362	Sancak						Van eyâleti	Sancak merkezi	1800				Adilcevaz	Van eyâleti	Kaza	1846				Van	Van eyâleti	Kaza	1855			Muş	Erzurum eyâleti	Kaza	1880			Bitlis	Bitlis vilâyeti	Kaza	1935			Bitlis																															https://www.wikidata.org/wiki/Special:EntityData/Q400362.json	38.252777777778	42.494444444444
94	AHMET SARAY	احمدسرای							Nahiye	1865			Lâdik	Amasya	Sivas vilâyeti	Köy				Merkez	Lâdik	Samsun																																																									
95	AHMETBEY	احمد بک							Nahiye				Lüleburgaz	Kırkkilise	Edirne vilâyeti	Kasaba				Büyükkarıştıran	Lüleburgaz	Kırklareli																																																									
96	AHMETLER	احمدلر							Nahiye merkezi				Kozcağız	Bartın	Zonguldak																																																																
97	AHMETLİ	احمدلی							Nahiye					Turgutlu	Manisa	Kaza	~1990	Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)				Manisa																																																									
98	AHMETLİ	احمدلی	Güran	Pirahmet					Nahiye					Ergani	Diyarbakır																																																																
99	AHSA	احسا	Necd-i Şarkî	El-Hufûf					Eyâlet						Ahsa eyâleti	Sancak	1871					Bağdad vilâyeti	Sancak	1874					Necd vilâyeti	Sancak	1875				Basra vilâyeti	Sancak	1880				Bağdad vilâyeti	Sancak	1884			Basra vilâyeti																																	
100	AHSENDERE	احسن دره							Nahiye		Elbistan’ın güneybatısında ve Kabaktepe köyü civarında idi.		Maraş	Maraş	Zülkadriye eyâleti																																																																
101	AHTAMAR	آختمار							Ada		Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada				Van gölü																																																																
102	AHTOPOL	آخته پولی	Agoto-Polis	Vasiliko					Kaza	1865				Kırkkilise	Edirne	Kaza	1913				Burgaz	Bulgaristan																																																									
103	AHYOLU	آخيولی	Poromorie						Kaza					Burgaz	Bulgaristan																																																																
104	Ahyolu Burgazı	آخيولی بورغازی	BURGAZ						Sancak	1878					Rumeli-i Şarkî vilâyeti	Sancak	1908					Bulgaristan																																																									
105	Akâbâd	آق آباد	AKÇAOVA						Kaza	~1845				Kocaeli	Hudavendigâr eyâleti	Nahiye	1878			Kandıra	İzmit	Şehremâneti	Nahiye	1924				Kandıra	Kocaeli																																																		
106	AKABE	عقبه	Kal‘atü‘l-Akabe	Akabetü‘l-Eyle					Nahiye				El-Vech	Medine	Hicaz vilâyeti	Kaza	~1910					Hicaz vilâyeti	Kaza		Kızıldeniz kenarında antik “Eyle” kentine giriş boğazında olduğu için “Akabe-i Eyle” denildi sonra yalnız “Akabe” s.zü kullanıldı.				Ürdün																																																		
107	AKARSU	آقارصو	Alakilise						Nahiye	1865			Refahiye	Erzincan	Erzurum vilâyeti	Nahiye	1924				Refahiye	Erzincan																																																									
108	AKARSU	آقارصو	İstilil						Nahiye					Nusaybin	Mardin																																																																
109	AKÇAÂBÂD	آقچه آباد	Polathane						Nahiye				Merkez	Trabzon	Rum eyâleti	Kaza					Trabzon	Trabzon eyâleti	Kaza	1924					Trabzon																																																		
110	Akçaâbâd	آقچه آباد	AKÇAOVA						Nahiye				Ayasuluğ	Aydın	Anadolu eyâleti	Nahiye					Çine	Aydın																																																									
111	AKÇADAĞ	آقچه طاغ	Arga						Nahiye				Merkez	Malatya	Mamûretülaziz	Kaza	1834					Harput eyâleti	Kaza	1855					Diyarbakır eyâleti	Kaza	1877				Mamûretülaziz vilâyeti	Kaza	1924				Malatya																																						
112	AKÇAHİSAR	آقچه حصار	Krupa						Kaza	1881				İşkodra	İşkodra vilâyeti	Kaza					Dıraç	İşkodra vilâyeti																																																									
113	AKÇAHİSAR	آقچه حصار							Nahiye		Şimdiki yeri tesbit edilemedi. Manavgat’ın “Hisar” mahallesi var.		Manavgat	Alâiye	Anadolu eyâleti																																																																
114	AKÇAKALE	آقچه قلعه					Harran bölgesinde kuruldu. Harran da nahiye olarak bu kazaya bağlandı.		Köy				Merkez	Harran	Urfa	Kaza	1946					Şanlıurfa																																																									
115	AKÇAKALE	آقچه قلعه							Sancak	1520					Diyarbakır eyâleti	Köy				Merkez	Ergani	Diyarbakır																																																									
116	AKÇAKALE	آقچه قلعه							Nahiye					Hısn-ı keyf ve Siird	Diyarbakır																																																																
117	AKÇAKENT	آقچه کند							Nahiye					Çiçekdağı	Kırşehir	Kaza	~1990					Kırşehir																																																									
118	AKÇAKIŞLA	آقچه قشله	Ağcakışla						Nahiye					Şarkışla	Sivas																																																																
119	AKÇAKOCA	آقچه قوجه	Akçaşehir						Nahiye	1870-1933				Düzce	Bolu	Kaza	1934					Bolu	Kaza	1999					Düzce																																																		
120	AKÇAKOYUNLU	آقچه قويونلی	Haral						Nahiye				Ayıntab	Halep	Halep vilâyeti	Köy				Doğanpınar	Oğuzeli	Gaziantep																																																									
121	AKÇAN	آقچان	Mercimekkale	Sakavî					Nahiye				Merkez	Muş	Bitlis	Nahiye	1924				Merkez	Muş																																																									
122	AKÇAOVA	آقچه اووه	Akçaâbâd						Nahiye	~1530			Ayasuluğ	Aydın	Anadolu eyâleti	Nahiye	1924				Çine	Aydın																																																									
123	AKÇAOVA	آقچه اووه	Akçaâbâd						Nahiye					Kandıra	Kocaeli																																																																
124	AKÇAPINAR	آقچه پيگار	Vaskovan						Nahiye	1777			Çemişgezek	Dersim	Mamûretülaziz	Nahiye	1926				Çemişgezek	Elâzığ	Nahiye	1935				Çemişgezek	Tunceli																																																		
125	Akçaşehir	آقچه شهر	SÖKE					https://www.wikidata.org/wiki/Q1012854	Sancak merkezi	17. yy.				Sığla	Kaptanpaşa eyâleti	Kaza	1841				Sığla	Aydın eyâleti	Kaza	1867				Sığla	Aydın vilâyeti	Kaza	1924				Aydın																																										https://www.wikidata.org/wiki/Special:EntityData/Q1012854.json	37.75	27.416666666667
126	Akçaşehir	آقچه شهر	AKÇAKOCA						Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye	1865			Düzce	Bolu	Kastamonu vilâyeti	Nahiye	1933				Düzce	Bolu	Kaza	1934				Bolu	Kaza	1999				Düzce																																						
127	AKÇAŞEHİR	آقچه شهر							Kasaba				Merkez	Karaman	Konya	Kasaba		Eyâlet döneminde Eskiil ve Hatinderbendi ile ü.ü bir kaza oluşturmuştur.			Merkez	Karaman																																																									
128	AKÇASIR	آقچه سير	Aygün						Nahiye					Kulp	Diyarbakır																																																																
129	AKÇAY	آقچای							Köy				Merkez	Terme	Samsun																																																																
130	AKÇAY	آقچای	Kaşçiftliği						Nahiye	1958				Elmalı	Antalya																																																																
131	AKÇAY maa TERME	آقچای مع ترمه							Kaza	1585				Canik	Trabzon eyâleti																																																																
132	Akdağ	آقطاغ	Çayırşeyhi	ÇAYIRALAN					Nahiye	16. yy.			Bozok	Bozok	Zülkadriye eyâleti	Nahiye	1872			Boğazlıyan	Yozgat	Ankara vilâyeti	Nahiye	1924				Boğazlıyan	Yozgat	Kaza	1948				Yozgat																																												
133	AKDAĞ	آقطاغ	Zana=Çiğdemlik						Nahiye				Merkez	Amasya	Rum eyâleti	Nahiye	1924				Merkez	Amasya																																																									
134	AKDAĞMADENİ	آقطاغ معدنی							Nahiye	1830				Bozok	Sivas eyâleti	Kaza	1860				Bozok	Bozok eyâleti	Kaza	1872				Yozgat	Ankara vilâyeti	Kaza	1924				Yozgat																																												
135	AKDEMİR Şavak	آقدمير	Abşeker						Nahiye	1877			Pertek	Dersim	Mamûretülaziz vilâyeti	Nahiye	1924				Pertek	Elâzığ	Nahiye	1935				Pertek	Tunceli																																																		
136	AKFAS	اقفاص							Kasaba						Mısır eyâleti																																																																
137	Akgevir	آقگوير	AKSU						Nahiye				Merkez	Diyarbakır	Diyarbakır	Köy				Merkez	Mazıdağı	Mardin																																																									
138	Akhisar	آقحصار	PAMUKOVA						Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Geyve	İzmit	Şehremâneti	Nahiye	1954				Geyve	Sakarya	Kaza	~1990				Sakarya																																												
139	AKHİSAR	آقحصار							Kaza					Saruhan	Anadolu eyâleti	Kaza	1841				Saruhan	Aydın eyâleti	Kaza	1924					Manisa																																																		
140	AKHİSAR	آقحصار	Bogovina	İskovile=Vakıf					Kaza	1866				Travnik	Bosna vilâyeti																																																																
141	AKINCI	آقنجی	Kasır						Nahiye					Merkez	Mardin																																																																
142	AKINCILAR	آقنجيلر	Ezbider	Ezbider-i Bâlâ					Nahiye	1924			Suşehri	Karahisar-ı Şarkî	Sivas	Nahiye	1933				Suşehri	Sivas	Kaza	~1990					Sivas																																																		
143	AKINCILAR	آقنجيلر	Tokaris						Nahiye	1877			Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																																		
144	Akıncılar	آقنجيلر	SELÇUK						Nahiye					Kuşadası	İzmir	Kaza	1957	Bir müddet “Akıncılar” adıyla anılan Selçuk, 1957’de yine “Selçuk” adıyla kaza oldu.)				İzmir																																																									
145	AKKA	عکا							Nahiye	1517				Safed	Arap vilâyeti	Sancak	1520					Şam eyâleti	Sancak	1660					Sayda eyâleti	Sancak	1865				Suriye vilâyeti	Sancak	1888				Beyrut vilâyeti																																						
146	AKKAR	آکار							Nahiye	1517				Trablus	Arap vilâyeti	Kaza	1847				Trablusşam	Sayda eyâleti	Kaza	1865					Suriye vilâyeti	Kaza	1888				Beyrut vilâyeti																																												
147	AKKAYA	آق قيا	Yaka						Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865			Merkez	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				Merkez	Kastamonu																																																		
148	AKKİRMAN	آق کيرمان	Belgorod-Dinestrouski						Sancak						Rumeli eyâleti	Sancak	1593					Özü eyâleti	Sancak						Silistre eyâleti	Sancak	1812				Rusya																																												
149	AKKİSİ	آق کيسی							Kaza		Şimdiki yeri belirlenemedi.			Siirt	Diyarbakır eyâleti																																																																
150	AKKIŞLA	آق قشله	Kuzugüdenli						Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye				Bünyan	Sivas	Sivas vilâyeti	Nahiye	1911				Bünyan	Kayseri	Kaza	~1990				Kayseri																																												
151	AKKÖPRÜ	آق کوپری							Kaza	~1849				Ankara	Bozok eyâleti	Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Beylikahır	Mihalıççık	Eskişehir																																																		
152	AKKÖPRÜ	آق کوپری					Şimdiki yeri belirlenemedi.		Nahiye				Gerede	Bolu	Kastamonu vilâyeti																																																																
153	Akköy	آق کوی	BULANCAK						Köy			Kebsil	Ordu	Canik	Rum eyâleti	Nahiye				Ordu	Ordu	Trabzon eyâleti	Nahiye	1868			Giresun	Trabzon	Trabzon vilâyeti	Nahiye	1924			Merkez	Giresun	Kaza	1934				Giresun																																						
154	AKKÖY	آق کوی							Kasaba				Merkez	Merkez	Denizli	Kaza	~1990					Denizli																																																									
155	AKKÖY	آق کوی							Nahiye		Bu nahiye bölgesinde Didim ilçesi kuruldu ve nahiyenin köyleri yeni ilçeye bağlandı.			Söke	Aydın																																																																
156	AKKUŞ	آق قوش	Karakuş	Yazlıkbelen					Kaza					Ordu	Sivas eyâleti	Kaza					Ordu	Trabzon eyâleti	Nahiye	1892			Ünye	Canik	Trabzon vilâyeti	Nahiye	1920			Ünye	Ordu	Kaza	1954				Ordu																																						
157	AKMESCİT	آق مسجد	Simferopol					https://www.wikidata.org/wiki/Q19566	Eyâlet merkezi						Kırım eyâleti (hanlığı)	Şehir		Yarımadanın merkezinde Kırım Tatar Hanlığı zamanında kurulmuş.				Rusya																																																							https://www.wikidata.org/wiki/Special:EntityData/Q19566.json	44.948055555556	34.104166666667
158	AKMEŞE	آق ميشه	Armişe						Nahiye	1878			Merkez	İzmit	Şehremâneti	Nahiye	1920				Merkez	Kocaeli																																																									
