Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
ABHAZ		7790	ابخاز	Sohumkale, Kutayis										İtibari eyâlet	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8	1804					Abhaz eyâleti		Muhtar idare	1804	http://n2t.net/ark:/99152/p0pf2qbt989	1810					Muhtar idare	Muhtar idare	1810	http://n2t.net/ark:/99152/p0pf2qbzg6v		Son dönemde Mrk. “Kutayis” idi.)				Rusya yönetimi																																																													
ABONİ		20001	آبونی								http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q480421	Şehir								Macaristan																																																																																
ABRENK		10003	آبرنک								http://www.geonames.org/ontology#P.PPLG			Nahiye	1877	http://n2t.net/ark:/99152/p0pf2qbx98x				Eğin	Mamûretülaziz	Mamûretülaziz vilâyeti	147	Köy						Merkez	Kemaliye	Erzincan																																																																						
ABŞEKER		10004	آب شکر								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Akdemir	Pertek	Tunceli																																																																																
ABUS		5010	عبوس								http://www.geonames.org/ontology#A.ADMD			Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts				İbb	Taizz	Yemen vilâyeti	181																																																																															
ABVİN		10005	عبوين								http://www.geonames.org/ontology#P.PPLG			Nahiye						Merkez	Kudüs	Filistin																																																																																
ACACI		10006	آجاجی	Acacıhüyük							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b			Zile	Tokat	Sivas	Rum eyâleti	155	Köy						Merkez	Çekerek	Yozgat																																																																						
ACAR		10007	آجار	Svejen							http://www.geonames.org/ontology#P.PPLG			Kaza merkezi						Karacadağ	Filibe	Bulgaristan		Köy						Karlıova	Filibe	Bulgaristan																																																																						
ACARETEYN		1001	آجارتين	Acara-i Ulyâ ve Acara-i Süfl.		ACARİSTAN					http://www.geonames.org/ontology#A.ADMD			Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8	1828					Çıldır eyâleti	119	Kaza	1828	http://n2t.net/ark:/99152/p0pf2qbzg6v	1878				Batum	Trabzon eyâleti	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x					Batum	Rusya	Kaza							Gürcistan	Özerk bölge							Gürcistan																																													
ACIGÖL		15000	آجی گول								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye			1990				Merkez	Nevşehir		Kaza	1990	Turkish Republic						Nevşehir																																																																						
ACİLAT		5011	عجيلات								http://www.geonames.org/ontology#A.ADMD			Kaza							Trablusgarb	Libya																																																																																
ACIPAYAM		5012	آجی پايام	Asikaraağaç, Garbîkaraağaç							http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1888				Hamid	Anadolu eyâleti	101	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Denizli	Aydın vilâyeti	Kaza	1924	Turkish Republic						Denizli																																																													
ACIPINAR		10008	آجی پيگار								http://www.geonames.org/ontology#P.PPLG			Nahiye			1933			Aksaray	Niğde	Konya vilâyeti	144	Nahiye	1933	Turkish Republic	1989				Aksaray	Niğde	Nahiye	1989	Turkish Republic					Merkez	Aksaray																																																													
ACİR		5013	عجير								http://www.geonames.org/ontology#A.ADMD			Nahiye						El-Hufûf	Necd-i Şerif	Basra																																																																																
ACISU		10009	آجی صو								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Zile	Tokat	Sivas vilâyeti	166	Köy						İğdir	Zile	Tokat																																																																						
ACLUN		1002	عجلون								http://www.geonames.org/ontology#A.ADMD			Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1865					Şam eyâleti	159	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1964				Havran	Suriye vilâyeti	Kaza	1964	Turkish Republic					İrbit	Suriye																																																													
ACLUN VE SALHAD		1003	عجلون وصلحد								http://www.geonames.org/ontology#A.ADMD			Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht						Arap vilâyeti	103																																																																															
