Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
ELEŞKİRT		1160	الشکرد	Toprakkale							http://www.geonames.org/ontology#A.ADMD			Sancak	1609	http://n2t.net/ark:/99152/p0pf2qbv3zv	1732					Van eyâleti	175	Sancak	1732	http://n2t.net/ark:/99152/p0pf2qbhtsm	1845					Erzurum eyâleti	Kaza	1845	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Bayazıt	Erzurum eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1938			Bayazıt	Erzurum vilâyeti	Kaza	1938	Turkish Republic					Ağrı																																													
Elige		10478	اليکه	YAYLÂÇAYI							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Merkez	Karahisar-ı Şarkî	Rum eyâleti	155	Köy						Gölova	Suşehri	Sivas																																																																						
ELKERİMLÜHAS		5854	الکريملوخاص								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Kürtün	Trabzon	Rum eyâleti	155																																																																															
ELKİ		10479	الکی								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh				Beytüşşebab	Hakkâri	Van eyâleti	175																																																																															
ELMADAĞ		5855	الماطاغ	Asi Yozgat							http://www.geonames.org/ontology#A.ADMD			Nahiye			1960				Çankaya	Ankara		Kaza	1960	Turkish Republic						Ankara																																																																						
ELMALI		510	المالو								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q1013462	Sancak merkezi			~1530				Teke	Anadolu eyâleti	101	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	~1846				Teke	Anadolu eyâleti	Kaza	~1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Teke	Karaman eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Teke	Konya vilâyeti	Kaza	1924	Turkish Republic					Antalya																																													
ELMALI		5856	المالو								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1847			Ordu	Canik	Rum eyâleti	155	Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh					Ordu	Trabzon eyâleti	Köy						Kovanlık	Bulancak	Giresun																																																													
ELMALIDERE		5857	المالو دره	Mollaosman							http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1937			Tutak	Bayazıt	Erzurum vilâyeti	125	Nahiye	1937	Turkish Republic					Karayazı	Erzurum																																																																						
ELMEDİN		10480	المدين								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	?	Turkish Republic	1926				Beşiri	Diyarbakır																																																																																
EloĞlu		10481	ايل اوغلی	TÜRKOĞLU							http://www.geonames.org/ontology#P.PPLG			Köy					Merkez	Merkez	Maraş	Halep		Nahiye			1960				Merkez	Maraş	Kaza	1960	Turkish Republic						Kahramanmaraş																																																													
ELVANÇELEBİ		10482	الوان چلبی								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Mecitözü	Amasya	Sivas vilâyeti	166	Köy						Merkez	Mecitözü	Çorum																																																																						
ELVANLI		10483	الوانلی	T.mük							http://www.geonames.org/ontology#P.PPLG			Kaza	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1870				Tarsus	Adana eyâleti	100	Nahiye	1870	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Merkez	Mersin	Adana vilâyeti	Nahiye	1924	Turkish Republic	1954				Merkez	Mersin	Nahiye	1954	Turkish Republic				Erdemli	İçel																																																					
EMET		10484	امد	Eğrigöz	اکری کوز						http://www.geonames.org/ontology#P.PPLG			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1841				Kütahya	Anadolu eyâleti	101	Nahiye	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1922			Merkez	Kütahya	Hudavendigâr eyâleti	Kaza	1922	http://n2t.net/ark:/99152/p0pf2qbvx6k		Voyvoda Nasuhoğlu’nun isyanı üzerine nahiye yapılmıştır. Eğrigöz şimdi Emet’in bir köyüdür.)				Kütahya																																																													
EMİNBEY		15366	امين بک	Cilvana							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1924	Turkish Republic	1992				Posof	Kars		Nahiye	1992	Turkish Republic					Posof	Ardahan																																																																						
EMİNÖNÜ		15367	امين اوگی								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Kaza	1930	Turkish Republic						İstanbul																																																																																
EMİRÂLEM		15368	اميرعالم								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1927	Turkish Republic					Menemen	İzmir																																																																																
Emirali	y	5858	اميرعلی	İMRALI							http://www.geonames.org/ontology#A.ADMD			Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Erdek	Hudavendigâr eyâleti	133	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Mudanya	Bursa	Hudavendigâr vilâyeti	Ada				Halen üzerinde tarım işletmeli yarı açık cezaevi bulunuyor.			Mudanya	Bursa																																																													
EMİRDAĞ		5859	اميرطاغ	Aziziye	عزيزيه						http://www.geonames.org/ontology#A.ADMD			Kaza	1886	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Karahisar-ı Sahib	Hudavendigâr vilâyeti	133	Kaza	1924	Turkish Republic						Afyonkarahisar																																																																						
EMİRGAZİ		15534	اميرغازی									Republic of Turkey		Kasaba			~1990			Gölören	Karapınar	Konya		Kaza	~1990	Turkish Republic						Konya																																																																						
EMİRHAN		10485	اميرخان								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Bulucan	Zara	Sivas																																																																																
EMİRLER		10486	اميرلر	Eymirler							http://www.geonames.org/ontology#P.PPLG			Nahiye				Lağvedilmiş.		Merkez	Ankara	Ankara vilâyeti	102																																																																															
EMİRUŞAĞI		10487	امير اوشاغی								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Aziziye	Sivas	Sivas vilâyeti	166	Köy						Toklar	Tomarza	Kayseri																																																																						
EMLÂK		10488	املاک	Emlâkdere							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1811			Merkez	Saruhan	Anadolu eyâleti	101	Nahiye	1811	http://n2t.net/ark:/99152/p0pf2qbzg6v				Merkez	Manisa	Aydın eyâleti	Köy						Muradiye	Merkez	Manisa																																																													
EMLÂK		5860	املاک								http://www.geonames.org/ontology#A.ADMD			Kaza	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq					Sivas	Sivas eyâleti	166																																																																															
EMLÂK		5861	املاک								http://www.geonames.org/ontology#A.ADMD			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b		Sivas’ın Gemerek ilçesi yöresi, Gemerek’in Çepni ve Sızır kasabaları bu nahiyeye bağlı idi.)		Bozok	Bozok	Zülkadriye eyâleti	183																																																																															
EMLÂK		5862	املاک								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b		Lağvedilmiş.)		Bafra	Canik	Rum eyâleti	155																																																																															
EMLEC		5863	املج								http://www.geonames.org/ontology#A.ADMD			Nahiye						Yenbuulbahr	Medine	Hicaz																																																																																
Emrudâbâd	y	5864	امرود آباد	ARMUTOVA		Gömeç					http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Burhaniye	Karesi	Hudavendigâr vilâyeti	133	Nahiye	1924	Turkish Republic					Burhaniye	Balıkesir																																																																						
ENÇİTİ		10489	انچتی	Topkapı							http://www.geonames.org/ontology#P.PPLG			Nahiye							Kemaliye	Malatya		Köy						Dutluca	Kemaliye	Erzincan																																																																						
ENDİRİS		10490	اندريس								http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b		Kiğı’nın Yedisu bucağı bölgesi. Bu bucak merkezinin adı “Çerme-i Endiris”tir.)		Merkez	Kiğı	Diyarbakır eyâleti	121																																																																															
ENEZ		5865	اين اوز	İnöz	اين اوز						http://www.geonames.org/ontology#A.ADMD			Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Dedeağaç	Edirne vilâyeti	122	Nahiye	1924	Turkish Republic	~1935				Keşan	Edirne	Kaza	~1935	Turkish Republic						Edirne																																																													
Engiz		10491	انکيز	ONDOKUZMAYIS		Ballıca					http://www.geonames.org/ontology#P.PPLG			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b				Bafra	Canik	Rum eyâleti	155	Kasaba			~1990			Merkez	Bafra	Samsun	Kaza	~1990	Turkish Republic						Samsun																																																													
ERBAA		5866	اربعه	Herek						Nevâhi-i Erbaa adıyla kuruldu. Sonra nevâhi kelimesi terkedildi. Dört nahiye Herek (Erek), Karayaka, Sonusa ve Taşâbâd idi.	http://www.geonames.org/ontology#A.ADMD			Kaza	1859	http://n2t.net/ark:/99152/p0pf2qb8jmh	1872				Sivas	Sivas eyâleti	166	Kaza	1872	http://n2t.net/ark:/99152/p0pf2qbtdts	1892				Amasya	Sivas vilâyeti	Kaza	1892	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Tokat	Sivas vilâyeti	Kaza	1924	Turkish Republic					Tokat																																																					
ERBİL		1161	اربيل								http://www.geonames.org/ontology#A.ADMD			Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	19. yy.					Şehrizor eyâleti	161	Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1879				Kerkük	Bağdad maa Şehrizor eyâleti	Kaza	1879	http://n2t.net/ark:/99152/p0pf2qbx98x					Şehrizor	Musul vilâyeti	Kaza							Irak																																																					
ERCAN		1162	ارجان								http://www.geonames.org/ontology#A.ADMD			Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8						Çıldır eyâleti	119																																																																															
ERCEB		10492	ارجب								http://www.geonames.org/ontology#P.PPLG			Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Sana	Yemen vilâyeti	181																																																																															
ERÇEK		10493	ارچک								http://www.geonames.org/ontology#P.PPLG			Nahiye	1882	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Merkez	Van	Van vilâyeti	175	Nahiye	1924	Turkish Republic					Merkez	Van																																																																						
Erçel		15075	ارچل	DEĞİRMENÇAYI							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Mersin		Köy							Merkez	İçel																																																																						
ERCİŞ		1163	ارجيش								http://www.geonames.org/ontology#A.ADMD			Sancak	1548	http://n2t.net/ark:/99152/p0pf2qb689b	1855					Van eyâleti	175	Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Van	Van eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Van	Erzurum eyâleti	Kaza	1924	Turkish Republic					Van																																																					
ERCİŞ		5867	ارجيش								http://www.geonames.org/ontology#A.ADMD			Kaza	1562	http://n2t.net/ark:/99152/p0pf2qb689b	1878				Büyük Eflâk	Eflâk eyâleti	123	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x					Eflâk	Romanya																																																																						
ERDAR		10494	اردار								http://www.geonames.org/ontology#P.PPLG			Nahiye	1888	http://n2t.net/ark:/99152/p0pf2qbx98x				Merkez	Trablusşam	Beyrut vilâyeti																																																																																
ERDEK		1164	اردک								http://www.geonames.org/ontology#A.ADMD			Sancak	1832	http://n2t.net/ark:/99152/p0pf2qbzg6v	1851					Hudavendigâr eyâleti	133	Kaza	1851	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Karesi	Hudavendigâr eyâleti	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Karesi	Hudavendigâr vilâyeti	Kaza	1924	Turkish Republic					Balıkesir																																																					
ERDEL		414	اردل	Transilvanya							http://www.geonames.org/ontology#A.ADMD			Eyâlet	1541	http://n2t.net/ark:/99152/p0pf2qb689b	1699					Erdel eyâleti		Eyâlet	1699	http://n2t.net/ark:/99152/p0pf2qb3qgh	1865					Avusturya	Eyâlet	1865	http://n2t.net/ark:/99152/p0pf2qbtdts						Macaristan																																																													
ERDELAN		415	اردلان	Sine							http://www.geonames.org/ontology#A.ADMD			Eyâlet	1590	http://n2t.net/ark:/99152/p0pf2qbb9h8	1609					Erdelân eyâleti		Eyâlet	1609	http://n2t.net/ark:/99152/p0pf2qbv3zv						İran																																																																						
ERDEMLİ		7906	اردملی											Köy			1954		Yağda	Silifke	İçil	Adana		Kaza	1954	Turkish Republic						İçel																																																																						
ERDÜRÜK		10495	اردوروک								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Gökdere	Palu	Elâzığ																																																																																
EREĞLİ		5868	ارکلی	Konya Ereğlisi							http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Aksaray	Karaman eyâleti	139	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Konya	Konya vilâyeti	Kaza	1924	Turkish Republic						Konya																																																													
EREĞLİ		5869	ارکلی	Karadeniz Ereğlisi							http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Bolu	Anadolu eyâleti	101	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Bolu	Kastamonu vilâyeti	Kaza	1924	Turkish Republic						Zonguldak																																																													
EREĞLİ		5870	ارکلی	Marmara Ereğlisi							http://www.geonames.org/ontology#A.ADMD			Kaza	~1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1926				Tekfurdağı	Edirne eyâleti	122	Nahiye	1926	Turkish Republic	~1990				Çorlu	Tekirdağ	Kaza	~1990	Turkish Republic						Tekirdağ																																																													
EREĞLİ		7907	ارکلی	Güzelyalı, Güzelkıyı										Köy						Merkez	Karamürsel	Kocaeli																																																																																
EREK		7908	ارک											Kasaba						Merkez	Halep	Halep vilâyeti	129																																																																															
ERENKÖY		10496	ارنکوی								http://www.geonames.org/ontology#P.PPLG			Nahiye							Merkez	Kale-i Sultaniye sancağı		Nahiye merkezi						İntepe	Merkez	Çanakkale																																																																						
ERENKÖY		7909	ارنکوی											Köy						Merkez	Kadıköy	İstanbul		Semt							Kadıköy	İstanbul																																																																						
ERENTEPE		5871	ارن تپه	Liz							http://www.geonames.org/ontology#A.ADMD			Nahiye							Bulanık	Muş																																																																																
ERETRİYA		20222	ارتريا	Eretrie								Not		Kasaba							Ağrıboz	Yunanistan																																																																																
ERFELEK		15076	ارفلک								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye			1960				Merkez	Sinop		Kaza	1960	Turkish Republic						Sinop																																																																						
Ergama		5872	ارغمه	GÖKÇEYAZI							http://www.geonames.org/ontology#A.ADMD			Nahiye							İvrindi	Balıkesir																																																																																
ERGANİ		1165	ارغنی	Ergani Osmaniye		Osmaniye				Kazanın adı 1937’de “Ergani” oldu.	http://www.geonames.org/ontology#A.ADMD			Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1847					Diyarbakır eyâleti	121	Sancak	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1855					Harput eyâleti	Sancak	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1857					Diyarbakır eyâleti	Sancak	1857	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Harput eyâleti	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Mamûretülaziz	Diyarbakır eyâleti	Vilâyet	1924	Turkish Republic	1926			Ergani vilâyeti	Kaza	1926	Turkish Republic				Diyarbakır																															
Erganimadeni		417	ارغنی معدنی	MADEN						1937’de “Maden” oldu.	http://www.geonames.org/ontology#A.ADMD			Sancak	1889	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Diyarbakır	Diyarbakır vilâyeti	121	Vilâyet	1924	Turkish Republic	1927					Erganimadeni	Kaza	1927	Turkish Republic						Elâzığ																																																													
ERGILASTİ maa GALOS		5873	ارغلاستی مع غلوس								http://www.geonames.org/ontology#A.ADMD			Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1913				Tırhala	Selânik eyâleti	163	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq					Tırhala	Yunanistan																																																																						
ERGİRİ		1166	ارکری	Argyrocastron							http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q173690	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts						Yanya vilâyeti	180	Sancak merkezi			1913				Delvine	Yanya vilâyeti	Sancak	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	1923					Yunanistan	Sancak	1923	http://n2t.net/ark:/99152/p0pf2qbvx6k					Arnavutluk																																																					
Erhami		10497	ارحمی	LEVENTPINARI							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Kuruçay	Erzincan	Erzurum vilâyeti	125	Köy						Merkez	İliç	Erzincan																																																																						
ERİHA		5874	اريحا								http://www.geonames.org/ontology#A.ADMD			Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh					Halep	Halep eyâleti	129	Nahiye						İdlib	Halep	Suriye																																																																						
ERİVAN		418	اريوان								http://www.geonames.org/ontology#A.ADMD			Eyâlet	1582	http://n2t.net/ark:/99152/p0pf2qbb9h8	1603					Erivan eyâleti		Eyâlet	1603	http://n2t.net/ark:/99152/p0pf2qbv3zv	1724					İran yönetimi	Eyâlet	1724	http://n2t.net/ark:/99152/p0pf2qbv754	1735					Osmanlı yönetimi	Eyâlet	1735	http://n2t.net/ark:/99152/p0pf2qbhtsm					İran yönetimi	Eyâlet							Rusya yönetimi	Sancak						Ermenistan	Başşehir						Ermenistan																															
ERKENEK		10498	ارکنک								http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Besni	Gerger-Kâhta	Rum eyâleti	155	Kasaba						Sürgü	Doğanşehir	Malatya																																																																						
ERKİLET		10499	ارکلت								http://www.geonames.org/ontology#P.PPLG			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Merkez	Kayseri	Ankara vilâyeti	102	Nahiye	1924	Turkish Republic	~1990				Merkez	Kayseri	Nahiye	~1990	Turkish Republic					Kocasinan	Kayseri																																																													
Erkinis		15369	ارکنيس	DEMİRKENT							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1926	Turkish Republic					Yusufeli	Artvin																																																																																
ERKÜŞ		10500	ارکوش								http://www.geonames.org/ontology#P.PPLG			Nahiye	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh				Merkez	Musul	Van eyâleti	175	Nahiye						Merkez	Musul	Irak																																																																						
Ermelik	y	5875	ارملک	DOĞANBEYLİ							http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Kemah	Erzincan	Erzurum		Nahiye	1924	Turkish Republic					Kemah	Erzincan																																																																						
ERMENEK		5876	ارمناک								http://www.geonames.org/ontology#A.ADMD			Kaza	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1864				İçil	Karaman eyâleti	139	Kaza	1864	http://n2t.net/ark:/99152/p0pf2qbtdts	1910				İçil	Adana eyâleti	Kaza	1910	http://n2t.net/ark:/99152/p0pf2qb3rtq	1924				Konya	Konya vilâyeti	Kaza	1924	Turkish Republic	1989				Konya	Kaza	1989	Turkish Republic					Karaman																																													
Ermenipazarı		5877	ارمنی بازاری	Pazarcık		PAZARYERİ					http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1867				Hudavendigâr	Anadolu eyâleti	101	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1953			Bozüyük	Ertuğrul	Hudavendigâr vilâyeti	Kaza	1953	Turkish Republic						Bilecik																																																													
ERMENT		7910	ارمنت											Kasaba								Mısır eyâleti	149																																																																															
Erniç		10501	ارنج	ERNİŞDERE							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Besni	Gerger-Kâhta	Rum eyâleti	155	Köy						Tut	Besni	Adıyaman																																																																						
ERSEK		10502	ارسک	Erseke							http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1874	http://n2t.net/ark:/99152/p0pf2qbtdts				Kolonya	Görice	Manastır vilâyeti	148																																																																															
Ersis	y	10503	ارسيس	KILIÇKAYA							http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1894	http://n2t.net/ark:/99152/p0pf2qbx98x	1916			Kiskim	Erzurum	Erzurum vilâyeti	125	Kaza merkezi	1918	http://n2t.net/ark:/99152/p0pf2qbw2zt	1926			Kiskim	Erzurum	Erzurum vilâyeti	Nahiye	1926	Turkish Republic					Yusufeli	Artvin																																																													
ERSOS		5878	ارسوس	Eresos							http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913			Molova	Midilli	Cezayir-i Bahr-i Sefid		Nahiye	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq				Molova	Midilli	Yunanistan																																																																						
Erşun		10504	ارشون	GÜNEYEVLER							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Divriği	Sivas	Sivas vilâyeti	166	Köy						Merkez	Divriği	Sivas																																																																						
ERTAH		10505	ارتاح								http://www.geonames.org/ontology#P.PPLG			Kasaba						Harim	Halep	Halep		Kasaba				Müstahkem bir kasaba olup önemli haçlı savaşlarına sahne olmuştur.		Harim	Halep	Suriye																																																																						
ERTUĞRUL		419	ارطغرل	Bilecik							http://www.geonames.org/ontology#A.ADMD			Kaza	~1393	http://n2t.net/ark:/99152/p0pf2qb6p6j	1841				Sultanönü	Anadolu eyâleti	101	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1883				Kütahya	Hudavendigâr eyâleti	Sancak	1883	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Ertuğrul	Hudavendigâr vilâyeti	Vilâyet	1924	Turkish Republic					Bilecik																																																					
ERTUĞRUL		15077	ارطغرل								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye	1945	Turkish Republic					Merkez	Balıkesir																																																																																
ERUH		5879	اروه								http://www.geonames.org/ontology#A.ADMD			Kaza	~1848	http://n2t.net/ark:/99152/p0pf2qb8jmh	1880				Siirt	Diyarbakır eyâleti	121	Kaza	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Siirt	Bitlis vilâyeti	Kaza	1924	Turkish Republic						Siirt																																																													
Erzin		10506	ارزين	YEŞİLKENT							http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	~1890	http://n2t.net/ark:/99152/p0pf2qbx98x				Dörtyol	Cebelibereket	Adana		Nahiye			1924			Dörtyol	Cebelibereket	Adana	Nahiye	1924	Turkish Republic	1939				Dörtyol	Cebelibereket	Nahiye	1939	Turkish Republic	~1990			Dörtyol	Hatay	Kaza	~1990	Turkish Republic					Hatay																																													
ERZİNCAN		420	ارزنجان								http://www.geonames.org/ontology#A.ADMD			Eyâlet	1514	http://n2t.net/ark:/99152/p0pf2qbznht	1534					Erzincan eyâleti		Kaza	1534	http://n2t.net/ark:/99152/p0pf2qb689b	1836				Kemah	Rum eyâleti	Kaza	1836	http://n2t.net/ark:/99152/p0pf2qbzg6v	1865				Erzurum	Erzurum eyâleti	Sancak	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Erzurum vilâyeti	Vilâyet	1924	Turkish Republic					Erzincan																																													
ERZURUM		125	( ارضروم (ارزن روم								http://www.geonames.org/ontology#A.ADMD			Nahiye	1514	http://n2t.net/ark:/99152/p0pf2qbznht	1534			Soğik	Bayburt	Rum eyâleti	155	Eyâlet	1534	http://n2t.net/ark:/99152/p0pf2qb689b	1865					Erzurum eyâleti	Vilâyet	1865	http://n2t.net/ark:/99152/p0pf2qbtdts						Erzurum vilâyeti																																																													
ERZURUM		607	( ارضروم (ارزن روم								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q122803																																																																																									
ERZURUMÂBÂD		5880	ارضروم آباد								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Soğik	Bayburt	Rum eyâleti	155																																																																															
ESBKEŞAN maa KOÇHİSAR		5881	اسبکشان مع قوچ حصار	İnevi							http://www.geonames.org/ontology#A.ADMD			Kaza				Esbkeşan cemaat adıdır. Koçhisar Ankara’ya geçti. İnevi de Cihanbeyli’nin merkezi oldu. Cihanbeyli’nin halen “Atçeken” mahallesi de vardır. Atçeken maddesine de müracaat			Konya	Konya																																																																																
EŞEN		5882	اشن	Kestep							http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Mekri	Menteşe	Aydın vilâyeti	104	Nahiye	1924	Turkish Republic					Fethiye	Muğla																																																																						
ESENÇAY		5883	اسن چای	Bidevi							http://www.geonames.org/ontology#A.ADMD			Nahiye			1944				Erbaa	Tokat		Nahiye	1944	Turkish Republic					Taşova	Amasya																																																																						
