key-name	alt-name	Reference
Silo k., Sokol n., Foça kz., Hersek l. 483	Kondak k.	
Gorna İstanova k., Bistriçe n., Foça kz., Hersek l.	Kondik k.	
Likureş k., Yanya kz., Yanya l.	Kondilo k.	
Kondoş k., Herese n., Midilli kz., Rodos l.	Kondoşa/Kondoş k.	
Boynik k., Delboçiçe n., Niş kz., Alacahisar l.	Koniçe k.	
Veliniçe k., Krevukor n., Karitena kz., Mora l.	Koniçe k.	
Mihal Maji k., İstifa n., İstifa kz., Agrıboz l.	Konika k.	
Nihor k., İstifa n., İstifa kz., Agrıboz l.	Kono k.	
Kugeva k., İpek kz., İskenderiye l.	Konobsi k.	
Garik k., Angelikasrı kz., Karlıili l.	Konohi k.	
Vırbiçe k., Tikveş n., Ustrumca kz., Köstendil l.	Konopişte k.	
Karagöz k., Yanbolu kz., Silistre l.	Konraz k.	
Korotik k., Trebine n., Nova kz., Hersek l.	Kopaç k.	
Borka mz., Visoka n., Saray kz., Bosna l.	Kopaçi mz.	
Nihori k., Tırhala n., Tırhala kz., Tırhala l.	Koprana k.	
Gorna Vihke k., Drametin n., Sreb-reniçe kz., İzvornik l.	Koprivçe k.	
Kamançişte-i Küçük k., Mujake kz., Avlonya l.	Koras k.	
Rayçe k., Çernereka n., Vidin kz., Vidin l.	Korbolofça k.	
Likureş k., Livadiye n., Livadiye kz., Agrıboz l.	Korfa k.	
Koritos kz., Mora l.	Koridos kz.	
Bekse k., Yenice-i Vardar kz., Solkol, Paşa l.	Korincal k.	
Buçipole zm., Prokine n., Mostar kz., Hersek l.	Korite zm.	
İvrasta k., Modoniçe n., İzdin kz., Agrıboz l.	Kornarilitokasrı (?) k.	
Zelmi k., Valtoz bölgesi, Angelikasrı kz., Karlıili l.	Kornoş k.	
Karaağaç k., Prevadi kz., Silistre l.	Korucu k.	
Muslihuddin k., Dimetoka kz., Sağkol, Paşa l.	Korucu k.	
Sarı Danişmend k., Dimetoka kz., Sağkol, Paşa l.	Korucu İsmail k.	
Ayvadlar k., Langaza n., Selanik kz., Solkol, Paşa l.	Korucu İvaz k.	
Bedirovası k., Filibe kz., Sağkol, Paşa l.	Korucu Köşan k.	
Ovulne k., Opolye n., Hasha-i Arna-vud kz., Prizrin l.	Kosaki k.	
Duşniçe k., Üsküb kz., Sağkol, Paşa l.	Kosova k.	
Haykal k., İstifa n., İstifa kz., Agrıboz l.	Kosta Rabdoşa k.	
Papa Kalu m., Varna nf., Varna kz., Silistre l.	Kostandin m.	
Sredne Suşiçe k., Ürgüb n., Ürgüb kz., Alacahisar l.	Kostandinofça k.	
Kostandin	Kostendin	
Şamarı k., İstifa n., İstifa kz., Agrıboz l.	Kostiçe k.	
Bodin k., Agrıboz n., Agrıboz kz., Agrıboz l.	Kostile (?) k.	
Keşişan çf., Aynaroz, Solkol, Paşa l.	Kostomos çf.	
Kotroşofça k., Şehirköy kz., Paşa l.	Kostroşofça k.	
Dimine k., Drama kz., Solkol, Paşa l.	Koşala k.	
Bistrençe k., Tikveş n., Ustrumca kz., Köstendil l.	Koşani k.	
Paniçar k., Sirişnik n., Ilıca kz., Köstendil l.	Koşareva k.	
Suhovaç k., Hlivne n., Iskıradin kz., Bosna l.	Koşovik k.	
Azeb k., Yanbolu kz., Silistre l.	Koştuk k.	
Tursunca k., Lofça kz., Niğbolu l.	Kotopeç k.	
Patohova k., Boraç n., Vişegrad kz., Bosna l.	Kovaçiçe k.	
Bergofça k., Kosova n., Iskıradin kz., Bosna l.	Kovaçik k.	
Timurhisar k., İzdin n., İzdin kz., Agrıboz l.	Kovalos k.	
Ahladi k., İzdin n., İzdin kz., Agrıboz l.	Kovanatos k.	
Kabil veled-i Ali k., Silistre kz., Silistre l.	Kovanlıkpınarı k.	
Andriça k., Arhos n., Arhos kz., Mora l.	Koveli k.	
Osaçaniçe k., Valyeva n., Pojega kz., Semendire l.	Kovile k.	
Krakipid k., Kuçeva n., Semen-dire kz., Semendire l.	Kovinepedi k.	
Çernik k., Boraç n., Vişegrad kz., Bosna l.	Koykovik k.	
Longa k., Velestin, Çatalca kz., Tırhala l. 496	Koyuneri k.	
Kayacık mz., Dimetoka kz., Sağkol, Paşa l.	Koyuneribostanlığı mz.	
Deli Mihal k., Çirmen kz., Çirmen l.	Koyunlu k.	
Timuroğlu Balabankuyusu k., Varna kz., Silistre l.	Koyunlu Alibeyköy k.	
Pop Ali k., Hırsova kz., Silistre l.	Koyunpınarı k.	
Gök İlyasoğulları mz., Hırsova kz., Silistre l.	Koyunsayesi mz.	
Mekşoliçe k., Badracık n., Badracık kz., Tırhala l.	Kozbükü k.	
Dabejyeva k., Yanya kz., Yanya l.	Kozkar k.	
Karya k., Badracık n., Badracık kz., Tırhala l.	Kozköy k.	
Karya k., Yaylak, Yenişehir n., Yeni-şehir kz., Tırhala l.	Kozköy k.	
Kunduzlu k., İvraca kz., Niğbolu l.	Kozladuy k.	
Kariş k., Tırhala n., Tırhala kz., Tırhala l.	Kozliçe k.	
Rodonafti k., Tırhala n., Tırhala kz., Tırhala l.	Kozliçe k.	
Gora k., Dömeke n., Çatalca kz., Tırhala l.	Kozlu k.	
Yassıören k., Yenice-i Karasu kz., Solkol, Paşa l.	Kozluca k.	
Iğrız k., Drama kz., Solkol, Paşa l.	Kozluköy k.	
Şeyhviranı k., Yenişehir n., Yeni-şehir kz., Tırhala l.	Kozlupınarı k.	
Bratonik k., Ürgüb n., Ürgüb kz., Alacahisar l.	Kozniçe k.	
Sinor k., Dubniçe n., Ilıca kz., Köstendil l.	Kozniçe k.	
Piştere-i Müslim k., Lofça kz., Niğbolu l.	Köçek k.	
Beşirli k., İştib n., İştib kz., Köstendil l.	Köçekler k.	
Hızırfakih mz., Karinovası kz., Silistre l.	Köpekli mz.	
Dudaklı k., Çorlu kz., Vize l.	Köprüceli k.	
Mostar n., Mostar kz., Hersek l.	Köprühisar n.	
Novasil k., İştib n., İştib kz., Kös-tendil l.	Köprüköy k.	
Yassıgeçid k., Prevadi kz., Silistre l.	Köprüköy k.	
Ahad Göyünç k., Çirmen kz., Çirmen l.	Köse Ahad k.	
Sovuklu k., Tırnova kz., Niğ-bolu l.	Köse Halilyurdu k.	
Pelidli k., Hırsova kz., Silistre l.	Köse Kasımyurdu k.	
Tatar Ali mz., Kırkkilise kz., Vize l.	Köse Ömer mz.	
Kızılca Mihal k., Keşan kz., Sağkol, Paşa l./Gelibolu l.	Köse Paşayiğit k.	
Köse İsmail k., Prevadi kz., Silistre l.	Kösekadıköy k.	
Ahiryanlı k., Gümülcine kz., Solkol, Paşa l.	Köseli k.	
Esenli k., Tekürdağı kz., Çirmen l.	Köstemirli k.	
Ilıca k., Samakov kz., Paşa l	Kösteniç k.	
Karaköy k., Çorlu kz., Vize l.	Köylüce k.	
Knaniçe k., Vulçıtrın n., Vulçıtrın kz., Vulçıtrın l.	Kraçe k.	
Pluzine k., Pivebana n., Nova kz., Hersek l.	Kragobovik k.	
Dodoş k., Rika n., Karadağ kz., İskenderiye l.	Krakidol k.	
Çeraniçe k., Florina kz., Solkol, Paşa l.	Krankofça k.	
Hacı Mehmed k., Silistre kz., Silistre l.	Kranova k.	
Kokino Petra k., Platimana bölgesi, Yenişehir kz., Tırhala l.	Kranya k.	
Mavrimat k., Fenar n., Fenar kz., Tırhala l.	Krayiste k.	
Bratofça k., İştib n., İştib kz., Köstendil l.	Krınofça k.	
Kalfata k., Krevukor n., Karitena kz., Mora l.	Kriçka k.	
Gorençe k., Zaplana, Niş n., Niş kz., Semendire l.	Krinçiste k.	
Barkovik k., Maglay n., Brod kz., Bosna l.	Krinşik k.	
Rogote k., Pirlep n., Semendire kz., Semendire l.	Krisna k.	
Rugote mz., Kuçeva n., Semendire kz., Semendire l.	Krisna mz.	
Belan k., Zagırlata n., Zagırlata kz., Alacahisar l.	Krivarika k.	
Yabulka k., Vardar n., Selanik kz., Solkol, Paşa l.	Krivatirde k.	
Moracdol k., Dubrovnik n., Saray kz., Bosna l.	Krivayevik k.	
Goloniçe k., Delboçiçe n., Niş kz., Alacahisar l.	Krobovçi k.	
Nedakus k., Bihor n., Bihor kz., Prizrin l.	Krokoçeva k.	
Lipovaç k., Alacahisar n., Alaca-hisar kz., Alacahisar l.	Kropovaç k.	
Samakov-ı Radenko k., Sofya kz., Paşa l.	Kroviçe k.	
Korikiste k., Sovalak n., Kerpiniş kz., Tırhala l.	Kroyçiste k.	
Kırjeva k., Krupine n., Srebreniçe kz., İzvornik l.	Krupine k.	
Mustafalı k., Yenice-i Karasu kz., Solkol, Paşa l.	Kruşba k.	
Mustafalı k., Yenice-i Karasu kz., Solkol, Paşa l.	Kruşbalı k.	
Kruşuçe k., Belgrad n., Belgrad kz., Semendire l.	Kruşeviçe k.	
Emrudluk k., Üsküb kz., Sağkol, Paşa l.	Kruşniçe k.	
Yahşi k., Vodena n., Yenice-i Vardar kz., Solkol, Paşa l.	Kruşorad k.	
Rudari k., Prespa n., Görice kz., Solkol, Paşa l.	Kruşova k.	
Klisura mz., Yanya kz., Yanya l.	Kruşoviçe mz.	
Çatalca k., Drama kz., Solkol, Paşa l.	Kruştani k.	
Kuçanovik m., Priştine nf., Priştine n., Vulçıtrın l.	Kuçanoko m.	
Kozniçe k., Alasonya n., Alasonya kz., Tırhala l.	Kuçuflani k.	
Toviçeviranı k., Çatalca n., Çatalca kz., Tırhala l.	Kulaklı k.	
Sulacı k., Silivri kz., Vize l.	Kulfalcı k.	
Evrenos k., Çernovi kz., Niğbolu l.	Kulfalfakih k.	
Hacı Musa k., Yenişehir n., Yenişehir kz., Tırhala l.	Kulfaloğlubükü k.	
Podbraze k., Morava n., Pojega kz., Semendire l., Pojega kz.	Kulinovaç k.	
Hocaca m., Dimetoka nf., Dimetoka kz., Sağkol, Paşa l.	Kum m.	
Komas mz., Bana kz., Vidin l.	Kumaniçe mz.	
İzlokugani k., Nogoriçe n., İştib kz., Köstendil l.	Kumaniçeva k.	
Amos k., Karaverye kz., Solkol, Paşa l.	Kumköy k.	
Kini Mujak k., İstifa n., İstifa kz., Agrıboz l.	Kunopiç k.	
Feth-i İslam n., Feth-i İslam kz., Vidin l.	Kura-i Cedid n.	
Kuzörenli k., Filibe kz., Sağkol, Paşa l.	Kurbağalı k.	
Kuzgunpınarı k., Silistre kz., Silistre l.	Kurd Alibeypınarı k.	
Çaylı k., Vize n., Vize l.	Kurdigin k.	
Beyli k., Kırkkilise kz., Vize l.	Kurdkaya k.	
Çiftlik-i Kurdşeyh k., Filibe kz., Sağkol, Paşa l.	Kurdşeyhçifliği k.	
Luk k., İskenderiye n., İskenderiye kz., İskenderiye l.	Kurita k.	
Çrençi k., Lomniçe n., Semendire kz., Semendire l.	Kurpine k.	
Topçu Mustafa çf., Virgoraç, Mostar n., Mostar kz., Hersek l.	Kurşeva çf.	
Akarca m., İpsala nf., İpsala kz., Sağkol, Paşa l.	Kurşunlar m.	
Küçükpınar m., Niğbolu nf., Niğ-bolu kz., Niğbolu l.	Kurşunlu k.	
Kukura k., İzdin n., İzdin kz., Agrıboz l.	Kurşunlukilise k.	
Kurd	Kurt	
Harma k., Londar, Karitena n., Karitena kz., Mora l.	Kurteş k.	
Halil k., Kırkkilise kz., Vize l.	Kurtullar k.	
Mandil k., Zihne kz., Solkol, Paşa l.	Kurunko k.	
Pridvoriçe k., Olofça n., Vişegrad kz., Bosna l.	Kusaçe k.	
Leskofça k., Timok n., Vidin kz., Vidin l. 515	Kusanova k.	
Negoşterin k., Kuşlat n., Srebreniçe kz., İzvornik l.	Kusine k.	
Canbazlar k., Abrı n., Mıgalkara kz., Gelibolu l.	Kuşlu k.	
Sunkurçi k., Hırsova kz., Silistre l.	Kutloy k.	
Kovancılar-ı Büzürk k., Çernovi kz., Niğbolu l.	Kuyucak k.	
Kıralkova k., Klapotnik n., Vulçıtrın l.	Kuzi k.	
Kirte isk., Behram-ı Küçük k., Ece-ovası n., Gelibolu kz., Gelibolu l.	Kuzu isk.	
Sofular-ı Hamza k., Aydos kz., Silistre l.	Küçük k.	
Alibeygeçidi k., Hırsova kz., Silistre l.	Küçük Ahmed k.	
Baldırıgarib k., Sofya kz., Paşa l.	Küçük Baldırlı k.	
Bigalı-yı Küçük k., Karıyaya n., Gelibolu kz., Gelibolu l.	Küçük Bigalı k.	
Küçük Hosunci k., Harala n., Mıgalkara kz., Gelibolu l.	Küçük Canbaz k.	
Küçük Çekmece Köprüsü, Vize l.	Küçük Çekme Köprüsü	
Küçük Çekme	Küçük Çekmece	
Kıryonero k., Çatalca n., Çatalca kz., Tırhala l.	Küçük Derendi k.	
İskiçe-i Fenar k., Fenar n., Fenar kz., Tırhala l.	Küçük Fenar k.	
Çaniçe Gardik k., İzdin n., İzdin kz., Agrıboz l.	Küçük Gardik k.	
Mehat mz., Avlonya kz., Avlonya l.	Küçük Globuçar mz.	
Balihocalı k., Vize n., Vize l.	Küçük Halil k.	
Yundalanı k., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Küçük Hasanlı k.	
Halilağa k., Abrı n., Mıgalkara kz., Gelibolu l.	Küçük Hızır k.	
Karacaoğlu k., Abrı n., Mıgalkara kz., Gelibolu l.	Küçük Hızır k.	
Adilkuyusu mz., Silistre kz., Silistre l.	Küçük Kaçamak mz.	
İtviranı k., Silivri kz., Vize l.	Küçük Kılıçlı k.	
Ahmedneal çf., Gümülcine kz., Solkol, Paşa l.	Küçük Köy çf.	
Kaluhayrale k., Siroz kz., Solkol, Paşa l.	Küçük Köy k.	
Komoştani k., Karinovası kz., Silistre l.	Küçük Köy k.	
Tetogi k., Katafiye, Dömeke n., Çatalca kz., Tırhala l.	Küçük Köy k.	
Mustafa k., Çernovi kz., Niğbolu l.	Küçük Manastır k.	
Muzallu-i Küçük k., Keşan kz., Sağkol, Paşa l./Gelibolu l.	Küçük Muzallı k.	
Tazna k., Lofça kz., Niğbolu l.	Küçük Pavlikan k.	
İspatari k., Malakas n., Belgrad kz., Avlonya l.	Küçük Peştani k.	
Akkoyunlu k., Prevadi kz., Silistre l.	Küçük Pınar k.	
Ayo Paraskeva k., İştin kz., Solkol, Paşa l.	Küçük Rezni k.	
Sekban Yusuf k., Edirne n., Edirne kz., Sağkol, Paşa l.	Küçük Sekban k.	
Yukarı Selanik k., İştin kz., Solkol, Paşa l.	Küçük Selanik k.	
Yassıören k., Yenice-i Karasu kz., Solkol, Paşa l.	Küçük Züncani/Kozluca k.	
Gevenli k., Müselleman-ı Çingane	Küplü k.	
Hallac Musa k., Varna kz., Silistre l.	Küplü k.	
Üsküdar k., Vize n., Vize l.	Küreci k.	
Tatarhisarı k., Gümülcine kz., Solkol, Paşa l.	Kürecik k.	
Aşağı Küreler k., Yörükan-ı Ofçabolu	Küreler-i Zir k.	
Uglovik k., Telçak n., Srebreniçe kz., İzvornik l.	Labderesi k.	
Grametiko k., Atina n., Atina kz., Agrıboz l.	Lada k.	
Nukratinçe k., Vidin kz., Vidin l.	Lagasofça k.	
Petrovaç k., İzmirnik n., Alacahisar l.	Lakinçe k.	
Papasad k., İstifa n., İstifa kz., Agrıboz l.	Lakoz k.	
Virniçe k., Alacahisar n., Alacahisar kz., Alacahisar l.	Laksin k.	
Mahmud veled-i Hasanbey çf., Bistriçe n., Foça kz., Hersek l.	Lala çf.	
Çirodol k., Voynugan-ı Istabl-ı Amire	Lalinçe k.	
Sardiyos k., Limnos cz., Gelibolu l.	Lançe k.	
İvlayanos (?) k., Modoniçe n., İzdin kz., Agrıboz l.	Lapatos k.	
Lorat k., Nasliç n., İştin kz., Solkol, Paşa l.	Lapoçişte k.	
Selite k., Malakas n., Belgrad kz., Avlonya l.	Lapokşa k.	
Duhonişte k., Yanya kz., Yanya l.	Lapu k.	
Kerasiye k., Serfiçe kz., Solkol, Paşa l.	Laskohor k.	
Todor Golemi mz., Arkadya n., Arkadya kz., Mora l.	Lavda Golemi mz.	
Sekban k., Hasha-i İstanbul kz., Vize l.	Lazar k.	
Bedeni k., Hulumiç n., Hulumiç kz., Mora l.	Lazar Boga k.	
Marmara k., Badracık n., Badracık kz., Tırhala l.	Lazari k.	
Çukurova k., Nasliç n., İştin kz., Solkol, Paşa l.	Lazarilçe k.	
Babraçko k., Nasliç n., İştin kz., Solkol, Paşa l.	Leftad k.	
Şindeli k., Yanya kz., Yanya l.	Leftehor k.	
Deftere k., Drama kz., Solkol, Paşa l.	Leftere k.	
Aspiro Litari k., Alasonya n., Ala-sonya kz., Tırhala l.	Lefterehor k.	
Cemrohor k., Karaverye kz., Solkol, Paşa l.	Lefterehor k.	
Kasterya k., Angelikasrı kz., Karlıili l.	Lefterehor k.	
Dragos mz., İvloho bölgesi, Angeli-kasrı kz., Karlıili l.	Lendi mz.	
Dolna Sile k., Neretva n., Neretva kz., Bosna l.	Lepelik k.	
Lepeçin k., Sivricehisar n., Rudnik kz., Semendire l.	Lepeniçe k.	
Begoyofça k., Praşova n., İvranya kz., Köstendil l.	Leskofça k.	
İstirhal k., Lomniçe n., Semendire kz., Semendire l.	Leskofça k.	
Katuna k., Koniçe n., Premedi kz., Yanya l.	Leskovik k.	
Liş, İskenderiye kz., İskenderiye l.	Leş	
Alaüddinler k., Lofça kz., Niğbolu l.	Leşniçe k.	
Sugubine k., Yarçe n., Yenibazar kz., Bosna l.	Leşniçe k.	
Dohalori k., Petre, Alasonya n., Ala-sonya kz., Tırhala l.	Leştani k.	
Podgradye k., Kuşlat n., Srebreniçe kz., İzvornik l.	Leşte k.	
Aşağı Taşova k., Nevrekop kz., Solkol, Paşa l.	Lika k.	
İzoros k., Fenar n., Fenar kz., Tırhala l.	Lika k.	
Ravyani k., Alasonya n., Alasonya kz., Tırhala l.	Likodi k.	
Goja k., Koritos n., Koritos kz., Mora l.	Likomati k.	
Tribor k., Ahyolu kz., Silistre l.	Likoryani k.	
Dolna Babin k., İvraca kz., Niğbolu l.	Lipene k.	
Çikaniçe k., Pirlep n., Semendire kz., Semendire l.	Lipovik k.	
Makreş mz., İştib n., İştib kz., Köstendil l.	Lipovişte/Makreş mz.	
Gorna Virşovine k., Yarçe n., Yeni-bazar kz., Bosna l.	Lipoyovik k.	
Vodan k., Aydos bölgesi, Angelikasrı kz., Karlıili l.	Lipoz k.	
Donla Bırniçe k., Seniçe n., Yenibazar kz., Bosna l.	Lisiçik k.	
Ostroviçe k., Belgrad n., Belgrad kz., Semendire l.	Lisovik k.	
Koknohoma k., Karaverye kz., Solkol, Paşa l.	Listanohor k.	
Turhancı viranı k., Drama kz., Solkol, Paşa l.	Lişani k.	
Kalivya-i Hacıbey k., Fenar n., Fenar kz., Tırhala l.	Livadyo k.	
Livanat k., Livadiye n., Livadiye kz., Agrıboz l. 536	Livan k.	
Zili k., İstifa n., İstifa kz., Agrıboz l.	Lizi k.	
Ayo Todor k., Nasliç n., İştin kz., Solkol, Paşa l.	Loneç k.	
Gorançi k., Eflaklar n., Argirikasrı kz., Avlonya l.	Longoz k.	
Komenit mz., Bogdanos Dağı, Sela-nik kz., Solkol, Paşa l.	Loniçe mz.	
Sarandapora k., Grebene kz., Yanya l.	Lopeşi k.	
Ayo Apostol k., Fenar n., Fenar kz., Tırhala l.	Lorgor (?) k.	
Kosmaç k., İskenderiye n., İskenderiye kz., İskenderiye l.	Lorusa k.	
Brotenik k., Boraç n., Vişegrad kz., Bosna l.	Lozniçe k.	
Murguli k., İrjana n., Yenibazar kz., Bosna l.	Lubçe k.	
Terma k., Badracık n., Badracık kz., Tırhala l.	Lubiçe k.	
İrteşova k., Lepaniçe n., Rudnik kz., Semendire l.	Lubihne k.	
İstrajiste k., Maglay n., Brod kz., Bosna l.	Luborik k.	
Bogova k., Rika n., Karadağ kz., İskenderiye l.	Lubotin k.	
Yayçeli Tomaş veled-i Groyan çf., Uskupye n., Neretva kz., Bosna l.	Luçedumye	
Tuleş k., Lepaniçe n., Rudnik kz., Semendire l.	Luçin/Tuleş k.	
Suşiçe k., Ürgüb n., Ürgüb kz., Alacahisar l.	Luçnik k.	
Todor Miho m., Manastır nf., Manastır kz., Sağkol, Paşa l.	Lukaç m.	
Aya Patay k., Siroz kz., Solkol, Paşa l.	Lukata Çimen k.	
Lukinan k., Dumoştiçe n., Hasha-i Arnavud kz., Prizrin l.	Lukayna k.	
Boyşan k., Vodena n., Yenice-i Vardar kz., Solkol, Paşa l.	Lukofça k.	
Çirponovik k., Saray n., Saray kz., Bosna l.	Lukova k.	
Kunava k., Nikşik n., Nova kz., Hersek l.	Lukova k.	
Nerayida k., İzdin n., İzdin kz., Agrıboz l.	Lukova k.	
Gorna Miranovik k., Osaniçe n., Foça kz., Hersek l.	Lukoviçe k.	
İvanofça k., Islavişte n., Ilıca kz., Köstendil l.	Lumniçe k.	
Çaykovik k., Seniçe n., Yenibazar kz., Bosna l.	Lupoje k.	
Kortine k., İvraca kz., Niğbolu l.	Lutebrod k.	
İstobiçe k., Prizrin n., Prizrin kz., Prizrin l.	Lutoviçe k.	
Novaşofça k., İznepol n., Şehirköy kz., Paşa l.	Lüleşofça k.	
Küçük Hacılar k., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Macarlar k.	
Habibfakih m., Dimetoka nf., Dime-toka kz., Sağkol, Paşa l.	Macarlar m.	
Leşniçe k., Osad n., Uziçe kz., Semen-dire l.	Maçevçi k.	
Koyaviçe k., Gostil n., Srebreniçe kz., İzvornik l.	Maçiçe k.	
Hırsova k., Ilıca n., Ilıca kz., Kös-tendil l.	Maçkanova k.	
Petrine k., Serfiçe kz., Solkol, Paşa l.	Maçkohor k.	
Komitos mz., Kızılhisar n., Agrıboz kz., Agrıboz l.	Madaros mz.	
Çayniçemadeni nf., Pripod n., Foça kz., Hersek l	Maden-i Çayniçe nf.	
Çiprofça mdn., Berkofça kz., Paşa l.	Maden-i Çiprofça	
Jejene mdn., Prizrin kz., Prizrin l.	Maden-i Jejene	
Trebçemadeni nf., Vulçıtrın kz., Vulçıtrın l.	Maden-i Trebçe nf.	
Zagradya mdn., Priştine kz., Vulçıtrın l.	Maden-i Zagradya	
Drofçin k., Petros kz., Alacahisar l.	Mager k.	
Sredne İsfarçe k., Ürgüb n., Ürgüb kz., Alacahisar l. 546	Mager k.	
Visoka k., Malakas n., Belgrad kz., Avlonya l.	Magira k.	
Magliç n., Pojega kz., Semendire l.	Magliçkalesi/Kale-i Magliç n.	
Debraje k., Nevrekop kz., Solkol, Paşa l.	Mahalle-i Hargub (?) k.	
İzgorinçi k., Nevrekop kz., Solkol, Paşa l.	Mahalle-i İvladikos k.	
Balık b., Gelibolu nf., Gelibolu kz., Geli-bolu l.	Mahi b.	
Balık b., Gelibolu nf., Gelibolu kz., Gelibolu l.	Mahi Çarşısı	
Divane Mahmud k., Yörükan-ı Kocacık	Mahmud-ı Divane	
Kakuna k., Filibe kz., Sağkol, Paşa l.	Mahova k.	
Kakuna k., Tatarbazarı kz., Sağkol, Paşa l.	Mahova k.	
Saray nf., Saray kz., Bosna l.	Mahruse-i Saray	
Mesari k., Majani n., Peremedi kz., Avlonya l.	Maji k.	
Petro Gorka k., Koritos n., Koritos kz., Mora l.	Makerdona k.	
Küçük Rupel k., Timurhisarı kz., Solkol, Paşa l.	Makova k.	
Asboğa k., Karaverye kz., Solkol, Paşa l.	Makrigoz k.	
İskiliva mz., Arhos n., Arhos kz., Mora l.	Makrili mz.	
Polyana k., Mizistre n., Mizistre kz., Mora l.	Makrişe k.	
Mavro Nero k., Fenar n., Fenar kz., Tırhala l.	Mala Vodiçe k.	
Koçi Magula k., Fenar n., Fenar kz., Tırhala l.	Malakaş k.	
Malakas n., Belgrad kz., Avlonya l.	Malakaş n.	
Malakas n., Belgrad kz., Avlonya l.	Malakaz n.	
Dolna Krivdol k., Şehirköy kz., Paşa l.	Male Krivdol k.	
Kokino Orfano k., Arkadya n., Arkadya kz., Mora l.	Mali k.	
Mıgalkara, Gelibolu l.	Malkara	
Generli k., Tekfurdağı n., Tekfurdağı kz., Çirmen l., Müselleman-ı Çirmen	Malkoç k.	
Göçbeyi k., Dimetoka kz., Sağkol, Paşa l.	Malkoç k.	
Virba k., Şehirköy kz., Paşa l.	Malova k.	
İstamilos k., Agrıboz n., Agrıboz kz., Agrıboz l.	Mamola k.	
Murgana mz., Kuçeva n., Semendire kz., Semendire l.	Manas mz.	
Gorna Zavade k., İvraca n., Yenibazar kz., Bosna l.	Manasa k.	
Ayo Paraskeva k., İştin kz., Solkol, Paşa l.	Manastır k.	
İzvoriçe k., Karitena n., Karitena kz., Mora l.	Manastır k.	
Omanik k., İştin kz., Solkol, Paşa l.	Manastır k.	
Orizar çeltüknehri, Orizar k., Tikveş n., Ustrumca kz., Köstendil l.	Manastırçe çeltüknehri	
Orizar k., Tikveş n., Ustrumca kz., Köstendil l.	Manastırçe k.	
Tominçe k., Bihlişte kz., Solkol, Paşa l.	Mançe k.	
Söğütlüdere k., Dimetoka kz., Sağkol, Paşa l.	Mandıra k.	
Hisarbeyi k., Ferecik kz., Sağkol, Paşa l.	Manendli k.	
Aleksi k., Filibe kz., Sağkol, Paşa l.	Manol k.	
İsdikana k., Morova-i Rudnik n., Rudnik kz., Semendire l.	Maraniçe k.	
Mehmed k., Şumnu kz., Niğbolu l.	Maraş k.	
Horgaç k., İştin kz., Solkol, Paşa l.	Margaç k.	
Yörgiç k., Tırhala n., Tırhala kz., Tırhala l.	Marine k.	
Çanga k., Olivir, Yenice-i Vardar kz., Solkol, Paşa l.	Mariniçe k.	
İsvilanova k., Koçana n., İştib kz., Köstendil l.	Marinova k.	
Zerovina Mangalava k., Ana-varin n., Moton kz., Mora l.	Marko Manesi k.	
Kilepe k., Dömeke n., Çatalca kz., Tırhala l.	Marmara k.	
Zaçi k., Lefçe n., Zagırlata kz., Alacahisar l.	Maroyevaç k.	
Peşterpole k., İskenderiye n., İskende-riye kz., İskenderiye l.	Marşin k.	
Kaliviye k., Sidrekapsi n., Sidrekapsi kz., Solkol, Paşa l.	Marula k.	
Karonopleşi k., Agrafa n., Fenar kz., Tırhala l.	Mastro Yani k.	
Batna k., Üsküb kz., Sağkol, Paşa l.	Matka k.	
Denefrosa k., Belgrad kz., Avlonya l.	Matova k.	
Luzi k., Koritos n., Koritos kz., Mora l.	Mavra Luzi k.	
Çapurna k., Alasonya n., Alasonya kz., Tırhala l.	Mavrolitari k.	
Filis k., Mizistre n., Mizistre kz., Mora l.	Mavros k.	
Tac k., Bihlişte kz., Solkol, Paşa l.	Mayerdol k.	
Dragotinbrod k., Lefçe n., Zagırlata kz., Alacahisar l.	Mazarak k.	
Ayo İlya k., Vodena n., Yenice-i Var-dar kz., Solkol, Paşa l.	Meçekli k.	
İvraca nf., İvraca kz., Niğbolu l.	Medene nf.	
Medun kl., Podgoriçe kz., İskenderiye l.	Medhun kl.	
Medvije k., Bukoviçe n., Iskıradin kz., Bosna l.	Medvige k.	
Zinebişe k., Ülündürük bölgesi, Livadiye kz., Tırhala l.	Megale Koma k.	
Plişe k., Hulumiç n., Hulumiç kz., Mora l.	Megali k.	
Palyofita k., Badracık n., Badracık kz., Tırhala l.	Megali İvrisi k.	
Bostan mz., Sofya kz., Paşa l.	Mehter Mustafaçiftliği mz.	
Panikoş k., Siroz kz., Solkol, Paşa l.	Mekeş k.	
Dolna Suşiçe k., Ürgüb n., Ürgüb kz., Alacahisar l.	Mekiş k.	
Boboştiçe k., Görice kz., Solkol, Paşa l., Kıbtiyan	Melik Emirahurbaşı k.	
Virpot k., Rinasa kz., Yanya l.	Menanos k.	
Laloka k., İstifa n., İstifa kz., Agrıboz l.	Menkola k.	
Vaya k., İstifa n., İstifa kz., Agrıboz l.	Menkola k.	
Martin Mujak k., İstifa n., İstifa kz., Agrıboz l.	Menkola Mujaki k.	
Himenlik k., Lepaniçe n., Rudnik kz., Semendire l.	Menlik k.	
