Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
DEMİRTAŞ		تيمورطاش	Sidre		Belen				City			Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	101	Nahiye	1924				Alanya	Antalya																																																						
DEMLOVA		دملوه							City			Kale						Yemen																																																														
DENİZÂBÂD		دگز آباد	Denizova						City	Republic of Turkey		Nahiye					Merkez	Muğla		Köy				Yerkesik	Merkez	Muğla																																																						
DENİZLİ	405	دگزلی	Lazkiye, Lâdik						Region			Kaza	~1530				Kütahya	Anadolu eyâleti	101	Sancak	1846					Aydın eyâleti	Kaza	1868				Aydın	Aydın vilâyeti	Sancak	1883				Aydın vilâyeti	Vilâyet	1924				Denizli																																			
DENİZOBA		دگز اوبه							Region			Nahiye	1865			Tırnova	Kırkkilise	Edirne		Nahiye	1913				Tırnova	Bulgaristan																																																						
DENNİ		دنی							City			Nahiye merkezi	1899		Vasabü'l-âlî	Zebid	Hudeyde	Yemen vilâyeti	181																																																													
DER		در							City			Müdiriyet merkezi					Sudan-ı Mısrî	Mısır																																																														
DER’A	569	درعا							Region		https://www.wikidata.org/wiki/Q238217	Kaza	1865-01-01T00:00:00Z				Havran	Suriye vilâyeti	168	Sancak merkezi	1912				Havran	Suriye vilâyeti																																																						
DER’İYYE		درعيه							Region	Not		Kaza					Necid	S. Arabistan		Kasaba					Riyad	S. Arabistan																																																						
DERBEND	406	دربند						Osmanlı idaresinde iken Şaburan, Ahtı, Kuba, Müskür, Küre, Çırak, Rustav adlı yedi sancağı vardı.	Region			Eyâlet	1577-12-22T00:00:00Z				Derbend eyâleti	Osmanlı hâkimiyeti		Eyâlet	1607					İran hâkimiyeti	Eyâlet	1723					Rus hâkimiyeti	Kaza	1921			Dağıstan Muh. Cum.	SSCB	İdare merkezi	~1990			Dağıstan Özerk Cum.	Rusya Federasyonu																																			
DERBEND		دربند							City			Köy				Merkez	Ilgın	Konya		Nahiye					Merkez	Konya	Kaza	~1990					Konya																																															
DERBEND		دربند							Region			Kaza	1833				Banaluka	Bosna		Kaza					Banaluka	Bosna-Hersek																																																						
DERBEND		دربند							City	Republic of Turkey		Nahiye					Merkez	Kocaeli																																																														
DERBEND		دربند							Region			Nahiye	1867			Nevrekop	Siroz	Selânik vilâyeti	163																																																													
DERBEND maa REVEDHANE		دربند مع رودخانه							Region			Nahiye	~1830			Köysancak	Kerkük	Bağdad maa Şehrizor eyâleti	107																																																													
Derbend-i Kebir		دربند کبير	Yakupbey Derbendi		PERŞEMBE				City			Kaza	17. yy.				Ordu	Trabzon eyâleti	171	Nahiye	1868			Ordu	Trabzon	Trabzon vilâyeti	Nahiye	1924				Merkez	Ordu	Kaza	1945				Ordu																																									
DERBEND-İ KEBİR		دربند کبير							Region			Nahiye	1865			Sofulu	Dedeağaç	Edirne		Nahiye	1913			Sofulu	Dedeağaç	Yunanistan																																																						
DERCE		درجه							Region			Nahiye	1874			Ohri	Manastır	Manastır		Nahiye				Ohri	Manastır	Makedonya																																																						
DERE	1131	دره							Region			Sancak	17. yy.					Van eyâleti	175																																																													
DERE		دره	Rumkiğ						Region	Republic of Turkey		Nahiye	1927				Pertek	Elâzığ		Nahiye	1936				Pertek	Tunceli																																																						
DERE-İ CEDİD		درهء جديد							Region			Nahiye	1865			Tırnova	Kırkkilise	Edirne		Nahiye	1913				Tırnova	Bulgaristan																																																						
DEREBUCAK		دره بوجاق								Republic of Turkey		Kasaba				Gencek	Beyşehir	Konya		Kaza	~1990					Konya																																																						
DERECİK		دره جک	Bodamiye						Region			Nahiye					Akçaâbâd	Trabzon																																																														
DEREGİŞ		دره کيش							City			Kaza merkezi				Safita	Trablusşam	Beyrut																																																														
DEREİLİ		دره ايلی							Region			Nahiye	16. yy.			Gerger	Gerger-Kâhta	Rum eyâleti	155																																																													
DEREKÖY		دره کوی							City	Republic of Turkey		Köy				Kofçaz	Merkez	Kırklareli		Nahiye					Merkez	Kırklareli																																																						
DEREKÖY		دره کوی							City			Nahiye merkezi				Şerefiye	Zara	Sivas																																																														
DERELİ		دره لی							City			Köy			Kırık	Giresun	Trabzon	Trabzon vilâyeti	171	Nahiye	1926				Merkez	Giresun	Kaza	1958					Giresun																																															
DEREPAZARI		دره بازاری							City	Republic of Turkey		Nahiye					Merkez	Rize		Kaza	~1990					Rize																																																						
DERGÜL		درکول	Kumçatı						City			Kaza	16. yy.				Siirt	Diyarbakır eyâleti	121	Köy				Merkez	Şırnak	Siirt																																																						
DERGÜLE		درکله							City			Nahiye	1855			Merkez	Revandiz	Bağdad maa Şehrizor eyâleti	107																																																													
DERİB		دريب							Region			Kaza	1847				Trablusşam	Sayda eyâleti	160																																																													
DERİK		دريک							Region			Kaza					Diyarbakır	Diyarbakır eyâleti	121	Kaza	1867				Diyarbakır	Diyarbakır vilâyeti	Kaza	1926					Mardin																																															
DERİNCE		درينجه								Republic of Turkey		Semt					Merkez	Kocaeli		Kaza	~1990					Kocaeli																																																						
DERİNKUYU		درين قويی	Melekûbi						City			Nahiye	~1530			Merkez	Niğde	Karaman eyâleti	139	Nahiye	1865			Merkez	Niğde	Konya vilâyeti	Nahiye					Nevşehir	Niğde	Nahiye	1924			Nevşehir	Kırşehir	Kaza	1960				Nevşehir																																			
DERİZBİN		ديرزبن	Acırlı									Köy		10. yy.’da bölgenin idare merkezi		Merkez	Midyat	Mardin																																																														
DERKÜŞ		درکوش							Region			Kaza	16. yy.				Halep	Halep eyâleti	129																																																													
DERNE	1132	درنه							Region			Sancak	1883-01-01T00:00:00Z					Bingazi vilâyeti		Kaza	1888					Bingazi sancağı	Kaza	1912					İtalyan işgâli	Kaza	1951				Libya																																									
DERNEKPAZARI		درنک بازاری	Kondu						Region	Republic of Turkey		Nahiye					Çaykara	Trabzon		Kaza	~1990					Trabzon																																																						
DERRARYAN		دراريان							City			Nahiye	19. yy.			Merkez	Revandiz	Bağdad eyâleti	106																																																													
DERŞİFİ		درشيفی							City			Nahiye	1879			Merkez	Musul	Van vilâyeti	175																																																													
DERSİM	1133	درسم	Hozat					Bu sancak bölgesinde 1935’te Tunceli vilâyeti kuruldu.	Region			Sancak	1849-01-01T00:00:00Z					Diyarbakır eyâleti	121	Sancak	1857					Harput eyâleti	Sancak	1865					Erzurum vilâyeti	Sancak	1888-1923				Mamûretülaziz vilâyeti	Kaza	1926				Elâziz																																			
DERTENG	1134	درتنگ							Region			Sancak	17. yy.					Bağdad eyâleti	106																																																													
Derun		ديرون	DUTVEREN						City			Nahiye	1867			Silvan	Diyarbakır	Diyarbakır vilâyeti	121	Köy				Çatakköprü	Silvan	Diyarbakır																																																						
DEŞNİÇE		دشنيجه	Kalisura						Region			Nahiye	1867			Permedi	Ergiri	Yanya vilâyeti	180	Nahiye	1923			Permedi	Ergiri	Arnavutluk																																																						
Deşt		دشت	BALPAYAM						Region			Nahiye					Pülümür	Tunceli																																																														
DESTEK		دستک							Region			Nahiye					Erbaa	Tokat		Nahiye	1953				Taşova	Amasya																																																						
DEŞTGÜR		دشتکور							Region			Kaza	16. yy.				Diyarbakır	Diyarbakır eyâleti	121	Nahiye	1867			Derik	Diyarbakır	Diyarbakır vilâyeti																																																						
DEVASİR		دواسر							Region			Kaza	1849				Basra	Bağdad maa Şehrizor eyâleti	107																																																													
DEVECİ		دوه جی							City			Nahiye	1865			Malkara	Tekfurdağı	Edirne vilâyeti	122	Köy	1926			Merkez	Malkara	Tekirdağ																																																						
DEVECİKONAĞI		دوه جی قوناغی							Region			Nahiye					Mustafa Kemalpaşa	Bursa																																																														
DEVEGEÇİDİ		دوه کچيدی							City	Republic of Turkey		Nahiye					Merkez	Diyarbakır																																																														
DEVELİ		دوه لی	Everek						Region			Kaza	~1530				Niğde	Karaman eyâleti	139	Kaza	1846				Kayseri	Bozok eyâleti	Kaza	1867				Kayseri	Ankara vilâyeti	Kaza	1924				Kayseri																																									
DEVRAMA		دورامه								Not		Kasaba						S. Arabistan																																																														
DEVREK		دورک	Hamidiye		Suçatı				Region			Kaza	1887				Bolu	Kastamonu vilâyeti	141	Kaza	1924					Zonguldak																																																						
DEVREKÂNÎ		دورکانی							City			Nahiye	~1530			Merkez	Kastamonu	Anadolu eyâleti	101	Kaza	1841				Kastamonu	Kastamonu eyâleti	Nahiye	1865				Merkez	Kastamonu vilâyeti	Kaza	1944				Kastamonu																																									
DEYR	508	دير							City		https://www.wikidata.org/wiki/Q239097	Sancak merkezi	1882-01-01T00:00:00Z					Zor sancağı																																																														
DEYR maa RAHBE	1135	دير مع رحبه							Region			Sancak	1515-12-22T00:00:00Z					Diyarbakır eyâleti	121	Sancak	1830					Rakka eyâleti																																																						
DEYR-İ HARİR		دير حرير							Region			Nahiye	1879			Revandiz	Kerkük	Musul vilâyeti	152																																																													
DEYR-İ MAKLUB		دير مقلوب							City			Nahiye	16. yy.			Merkez	Musul	Diyarbakır eyâleti	121																																																													
DEYR-İ SÜLEYMAN		ديرسليمان							Region			Nahiye	1865			Cebel-i Kalamon	Şam	Suriye vilâyeti	168																																																													
DEYR-İ ŞUMAYYİL		دير شميل	Deyr-i Şumayyil el-Tahtanî						City			Kaza merkezi	1865			Hamidiye	Hama	Suriye vilâyeti	168																																																													
DEYRAYUN		ديرايون										Kasaba					Musul	Irak																																																														
DEYRE		ديره							Region			Nahiye	1855			Revandiz	Şehrizor	Musul vilâyeti	152																																																													
DEYRİFOR		ديرفور							Region			Nahiye	1865			Humus	Hama	Suriye vilâyeti	168																																																													
DEYRÜLAHMER		ديرالاحمر							Region			Nahiye	1865			Balbek	Şam	Suriye vilâyeti	168																																																													
DEYRÜLKAMER	1136	ديرالقمر							Region		https://www.wikidata.org/wiki/Q613943	Sancak	1853-01-01T00:00:00Z					Sayda eyâleti	160	Kaza	19. yy.				Sayda	Sayda eyâleti	Sancak merkezi	1865					Cebel-i Lübnan sancağı	Nahiye	~1912				Cebel-i Lübnan sancağı																																									
DEYRÜŞEREŞ		ديرو شرش							Region			Nahiye	1884			Kurna	Basra	Basra vilâyeti	108																																																													
DEYRUT		ديروت										Kasaba					Reşid	Mısır																																																														
DEYÛLE maa KORİŞ		ديوله مع قرش							Region			Kaza	16. yy.				Konya	Karaman eyâleti	139	Köy		1928’de Kureyş şeklinde yazılmış. Şimdi ise Büyük Koraş ve Kü.ük Koraş köyleri var.		Ayrancı	Ereğli	Konya																																																						
DİÇE		دچه							Region			Nahiye				Şatra	Müntefik	Basra vilâyeti	108																																																													
DİCLE		دجله	Piran						City			Nahiye	1923				Maden	Diyarbakır		Nahiye					Merkez	Diyarbakır	Kaza	1936					Diyarbakır																																															
DİCLE		دجله	Kocapınar						Region			Nahiye					Cizre	Mardin		Nahiye	1990				Cizre	Şırnak																																																						
DİDİM		ديديم							Region			Kaza		Söke’nin Akköy bucağı bölgesinde kuruldu ve bu bucağın köylerini aldı.				Aydın																																																														
DİFRON		ديفرون							Region			Kaza	18. yy.				Hanya	Girit eyâleti	126	Kaza	1913					Yunanistan																																																						
DİGOR		ديغور							Region	Republic of Turkey		Nahiye	1926				Kağızman	Kars		Kaza	1953					Kars																																																						
DİGÜNLÜ		دکنلو							City			Nahiye	~1530			Merkez	Kemah	Rum eyâleti	155																																																													
DİH		ده							City			Kaza merkezi					Eruh	Siirt																																																														
DİKBIYIK		ديک بييق							Region			Nahiye					Çarşamba	Samsun																																																														
DİKİLİ		ديکيلی							Region			Nahiye					Bergama	İzmir		Kaza	1928					İzmir																																																						
DİKMEN		ديکمن	Yenicuma		Kırçal				Region	Republic of Turkey		Nahiye					Gerze	Sinop		Kaza	~1990					Sinop																																																						
DİLEKTEPE		ديلک تپه	Minar		Zeligar				Region			Nahiye	1880			Şirvan	Siirt	Bitlis vilâyeti	110	Nahiye	1949				Baykan	Siirt																																																						
DİLLİABBAS		دللی عباس	Deli Abbas						Region			Nahiye	1852			Horasan	Bağdad	Bağdad maa Şehrizor eyâleti	107																																																													
DİLMAN		ديلمان								Not		Kasaba					Azerbaycan	İran																																																														
DİMBOVİÇE		ديمبوويچه							Region			Kaza	1562				Büyük Eflâk	Eflâk eyâleti	123																																																													
DİMDERESİ		ديم دره سی							City			Nahiye	~1530			Merkez	Alâiye	Anadolu eyâleti	101																																																													
Dimetoka		ديمتوقه	GÜMÜŞÇAY		Güvercinlik				Region			Kaza	~1841				Biga	Hudavendigâr eyâleti	133	Nahiye	1924				Biga	Çanakkale																																																						
DİMETOKA	1137	ديمتوقه	Dimotika					Edirne’nin fethinden önce Osmanlı Devletinin birkaç ay başkenti olmuş	Region			Sancak	1846-01-01T00:00:00Z					Edirne eyâleti	122	Kaza	1865				Edirne	Edirne vilâyeti	Kaza	1913					Bulgaristan	Kaza	1919				Yunanistan																																									
DIMIŞK	539	دِمِشق	Damas		Şam				City		https://www.wikidata.org/wiki/Q3766	Eyâlet merkezi	1519-12-22T00:00:00Z					Şam eyâleti	159	Vilâyet merkezi	1865					Suriye vilâyeti	Başkent		Şam önceleri bölge adı, merkezi de Dımışk idi. Bugün “Dımışk” Şam’ın diğer adı olarak bilinir.				Suriye																																															
Dimurta		ديمورطه	Yukarıdimurta		ÜZÜMÖREN				City			Nahiye	1865			Merkez	Tokat	Sivas vilâyeti	166	Kasaba				Pazar	Turhal	Tokat																																																						
DİMYAT	1138	دمياط							Region			Sancak	17. yy.					Mısır eyâleti	149	Kaza	1876				Garbiya	Mısır hidiviyeti	Muhafızlık						Mısır																																															
DİNADİ		دنادی							City			Nahiye				Merkez	Musul	Van eyâleti	175																																																													
DİNAR		دينار	Geyikler						Region			Kaza	~1530				Kütahya	Anadolu eyâleti	101	Kaza	1842				Kütahya	Hudavendigâr eyâleti	Nahiye	~1909				Karahisar-ı Sahib	Hudavendigâr vilâyeti	Kaza	~1912				Afyonkarahisar																																									
Dinek		دنک	Dinek Keskini		KESKİN				Region			Nahiye	16. yy.			Kırşehir	Bozok	Zülkadriye eyâleti	183	Kaza	1846				Ankara	Bozok eyâleti	Kaza	1924					Ankara	Kaza	1989				Kırıkkale																																									
DİNEK		دينک							City			Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	102	Köy				Merkez	Mihalıççık	Eskişehir																																																						
DİNEK		دينک							Region	Republic of Turkey		Nahiye	1926				Çumra	Konya																																																														
DİPSİZGÖL		ديپسز کول							City			Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti	166	Köy				Merkez	Zara	Sivas																																																						
DIRAC	1554	دراج	Durazzo						Region			Kaza	17. yy.				Elbasan	Rumeli eyâleti	156	Sancak	1881					İşkodra vilâyeti																																																						
DİRAĞAN		ديراغان							Region			Kaza	1846				Tırnovi	Vidin eyâleti	178	Kaza	1908				Tırnovi	Bulgaristan																																																						
DİRBESAK		ديربساق							Region			Nahiye	1517				Ayıntab	Arap vilâyeti	103																																																													
DİREKLİ		ديرکلی							Region			Nahiye	1865			Yıldızeli	Sivas	Sivas vilâyeti	166	Nahiye	1924				Yıldızeli	Sivas																																																						
Dirgine		ديرکينه	YAZICIK									Köy				Merkez	Devrek	Zonguldak																																																														
DİRGİNE maa SEKİZDİVAN		ديرکينه مع سکيز ديوان							Region			Kaza	1841				Bolu	Kastamonu eyâleti	141																																																													
DİRİN		درين							City			Nahiye	1875			Merkez	İşkodra	İşkodra vilâyeti	135	Nahiye	1913			Merkez	İşkodra	Arnavutluk																																																						
Dirmil		ديرميل	ALTINYAYLÂ						Region	Republic of Turkey		Nahiye	1924				Tefenni	Burdur		Nahiye	1953				Gölhisar	Burdur	Kaza	~1990					Burdur																																															
DİRONA		ديرونه							City			Köy			Yomra	Merkez	Trabzon	Rum eyâleti	155	Kaza merkezi	1959				Yomra	Trabzon																																																						
DİŞBAH		ديشبخ							Region			Kaza	1855				Bedre	Bağdad maa Şehrizor eyâleti	107																																																													
DIŞLIK		ديشلق							City			Nahiye	1865			Merkez	Sivas	Sivas vilâyeti	166	Köy				Alacahan	Kangal	Sivas																																																						
DİŞNA		دشنی										Kasaba						Mısır																																																														
DİVANİYE	1139	ديوانيه	Ed-Divaniye						Region			Sancak	1851-01-01T00:00:00Z					Bağdad maa Şehrizor eyâleti	107	Kaza	1852				Hille	Bağdad																																																						
DİVRİĞİ	1140	ديورکی							Region			Sancak	17. yy.					Sivas eyâleti	166	Kaza	1867				Sivas	Sivas vilâyeti	Kaza	1924					Sivas																																															
DİVRİĞİ ve DARENDE	1141	ديورکی ودارنده							Region			Sancak	1516-12-22T00:00:00Z					Arap vilâyeti	103	Sancak	1520					Rum eyâleti																																																						
DİYADİN		ديادين							Region			Kaza	1858				Bayazıt	Erzurum eyâleti	125	Kaza	1865				Bayazıt	Erzurum vilâyeti	Kaza	~1925					Bayazıt	Kaza	1938				Ağrı																																									
DİYALE		دياله	Mendeli						City		https://www.wikidata.org/wiki/Q1382440	Şehir					Bağdad	Irak																																																														
DİYAN		دييان							City			Nahiye	1865			Merkez	Kerek	Suriye vilâyeti	168																																																													
DİYAR-I MUDAR		ديار مضار	Rakka									Bölge						Suriye																																																														
DİYARBAKIR	121	ديار بکر	Diyar-ı Bekr		Âmid				Region			Vilâyet	1516-12-22T00:00:00Z					Diyarbakır vilâyeti	121	Eyâlet	1520					Diyarbakır eyâleti	Vilâyet	1867					Diyarbakır vilâyeti																																															
DİYARBAKIR	605	ديار بکر							City		https://www.wikidata.org/wiki/Q83387																																																																					
Dize		ديزه	ÜZÜMCÜ						City			Kaza merkezi	1888			Gevar	Hakkâri	Van vilâyeti	175	Kaza merkezi	1936				Yüksekova	Hakkâri																																																						
DİZEYİ		ديزه يی							Region			Nahiye	1879			Erbil	Şehrizor	Musul vilâyeti	152																																																													
DOBRİC		دوبريچ							Region			Kaza					Ammara	Basra																																																														
DOBRİC		طوبريچ							City			Kaza merkezi	1867			Hindiye	Kerbelâ	Bağdad vilâyeti	106																																																													
DODURGA		طودرغه								Republic of Turkey		Kasaba				Merkez	Osmancık	Çorum		Kaza	~1990					Çorum																																																						
DODURGA		طودرغه							City			Kaza	~1530				Bolu	Anadolu eyâleti	101	Köy				Merkez	Çerkeş	Çankırı																																																						
DODURGA		طودرغه							Region			Nahiye					Bozüyük	Bilecik																																																														
DOĞAN	1142	طوغان							Region			Sancak	1593-01-01T00:00:00Z					Özü eyâleti																																																														
DOĞANBEY		طوغان بک							City			Nahiye					Seferihisar	İzmir		Köy				Merkez	Seferihisar	İzmir																																																						
DOĞANBEY		طوغان بک							Region			Nahiye					Beyşehir	Konya																																																														
Doğanbey		طوغان بک	ATBURGAZI		Güllübahçe				Region			Nahiye					Söke	Aydın																																																														
DOĞANBEYLİ		طوغان بکلی	Ermelik						Region			Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	125	Nahiye	1924				Kemah	Erzincan																																																						
DOĞANCA		طوغانجه	Harbur		Kezi				Region			Nahiye					Pervari	Siirt																																																														
DOĞANÇAY		طوغانچای							Region			Nahiye					Geyve	Sakarya																																																														
DOĞANHİSAR		طوغانحصار							Region			Kaza	17. yy.				Konya	Karaman eyâleti	139	Nahiye	1865			Akşehir	Konya	Konya vilâyeti	Nahiye	1924				Akşehir	Konya	Kaza	1957				Konya																																									
DOĞANHİSAR		طوغانحصار							City			Nahiye	1865			Merkez	Dedeağaç	Edirne vilâyeti	122	Nahiye	1919			Merkez	Dedeağaç	Yunanistan																																																						
DOĞANKENT		طوغانکند	Harşit		Manastırbükü				Region			Nahiye					Torul	Gümüşhane		Nahiye					Tirebolu	Giresun	Kaza	~1990					Giresun																																															
DOĞANKENT		طوغانکند	Mihmandar						City	Republic of Turkey		Köy				Merkez	Merkez	Adana		Nahiye	1957				Karataş	Adana	Nahiye	~1990				Yüreğir	Adana																																															
DOĞANPINAR		طوغان پيکار	Haral						City	Republic of Turkey		Köy				Ağcakoyunlu	Merkez	Gaziantep		Nahiye	1946				Oğuzeli	Gaziantep																																																						
DOĞANŞAR		طوغان شار	İpsile						City			Nahiye merkezi			Tozanlı	Hafik	Sivas	Sivas vilâyeti	166	Nahiye	1924				Hafik	Sivas	Kaza	~1990					Sivas																																															
DOĞANŞEHİR		طوغان شهر	Viranşehir						City			Köy				Sürgü	Akçadağ	Malatya		Nahiye	1929				Akçadağ	Malatya	Kaza	1946					Malatya																																															
DOĞANSU		طوغان صو	Sultanmut						Region	Republic of Turkey		Nahiye	1936				Patnos	Ağrı																																																														
DOĞANTEPE		طوغان تپه	Geldiklan		Zara				City			Nahiye	~1530			Merkez	Amasya	Rum eyâleti	155	Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Nahiye	1924				Merkez	Amasya																																															
DOĞANYOL		طوغان يول	Keferdiz						Region			Nahiye	1875			Pütürge	Mamûretülaziz	Mamûretülaziz vilâyeti	147	Nahiye	1924				Pütürge	Malatya	Kaza	~1990					Malatya																																															
DOĞANYURT		طوغان يورد	Hoşalay		Meset				Region			Kaza	~1841				Kastamonu	Kastamonu eyâleti	141	Nahiye	1865			Cide	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				İnebolu	Kastamonu	Kaza	~1990				Kastamonu																																									
DOĞANYURT		طوغان يورد	Hayati						Region			Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	166	Nahiye	1924				Erbaa	Tokat																																																						
DOĞRUYOL		طوغری يول	Cala						Region	Republic of Turkey		Nahiye	1926				Çıldır	Kars																																																														
DOĞUBAYAZIT	408	طوغی بايزيد	Bayazıt						Region			Sancak	1577-12-22T00:00:00Z					Van eyâleti	175	Sancak	1845					Erzurum eyâleti	Sancak	1865					Erzurum vilâyeti	Vilâyet	~1925				Bayazıt vilâyeti	Kaza	1927				Karaköse vilâyeti	Kaza	1938			Ağrı																														
DÖKMETEPE		دوکمه تپه	Ahur						Region			Nahiye					Turhal	Tokat																																																														
DOKURCUN		دوقورجون	Yeniköy						Region			Nahiye					Akyazı	Sakarya																																																														
DOLAŞDIR		دولاشدير							Region			Nahiye	1865			Eğridere	Gümülcine	Edirne		Nahiye	1913			Eğridere	Kırcaali	Bulgaristan																																																						
DOMANCA		طومانجه							Region			Nahiye	1867			Söke	Aydın	Aydın vilâyeti	104	Nahiye		Lağvedilmiş			Söke	Aydın																																																						
DOMANİÇ		طومانيچ	Hisar						Region			Kaza	~1530				Hudavendigâr	Anadolu eyâleti	101	Nahiye	1865			İnegöl	Ertuğrul	Hudavendigâr vilâyeti	Kaza	1960					Kütahya																																															
DOMBAYOVA		دومبای اووه	Dombay		Uluköy				Region			Nahiye					Dinar	Afyon																																																														
DÖMEKE		دومکه	Domoko							Not		Kasaba					Teselya	Yunanistan																																																														
DOMİNE		دومنه							City			Kaza merkezi	1866			Jobanyaç	Travnik	Bosna vilâyeti	113																																																													
DOMNİK		دومنيک							Region			Nahiye	1889			Alasonya	Serfiçe	Manastır		Nahiye	1913			Alasonya	Serfiçe	Yunanistan																																																						
DONGALA		دونغله							Region			Müdiriyet						Mısır																																																														
DONYA		دونيه							Region			Nahiye	1874			Pirlepe	Manastır	Manastır		Nahiye	1913			Pirlepe	Manastır	Makedonya																																																						
DORCA		دورجه							Region			Nahiye	1874			Ohri	Manastır	Manastır vilâyeti	148	Nahiye	1913			Ohri	Manastır	Makedonya																																																						
DOROHOY		دوروهوی							Region	Not		Sancak	1455				Boğdan	Romanya																																																														
DÖRTDİVAN		دورت ديوان	Çavuşlar						Region			Kaza	~1841				Bolu	Kastamonu eyâleti	141	Nahiye	1924				Gerede	Bolu	Kaza	~1990					Bolu																																															
DÖRTYOL		دورتيول							Region			Kaza	1877				Cebelibereket	Adana vilâyeti	100	Kaza	1924					Cebelibereket	Kaza	1933					Adana	Kaza	1939				Hatay																																									
DORUTAY		دوروتای	Taşrumi						Region			Nahiye					Özalp	Van																																																														
DÖŞEMEALTI		دوشمه آلتی	Yeniköy						City	Republic of Turkey		Nahiye					Merkez	Antalya																																																														
DOSPAT		دوسپاط	Baronya						Region			Nahiye	1867			Rupçoz	Drama	Selânik vilâyeti	163	Nahiye	1913				Rupçoz	Bulgaristan																																																						
DOSTKİ		دوستکی	Befrican						Region			Nahiye		Aşiret adıdır. Lağvedilmiş. Merkezi olan Befrican = Karlı şimdi Yüksekova’nın merkez bucağına bağlı.			Yüksekova	Hakkâri																																																														
DÖVLEN		دوولن	Devin						City			Kaza merkezi	1867			Rupçoz	Drama	Selânik vilâyeti	163	Kaza	1913				Paşmaklı	Bulgaristan																																																						
DOYRAN		طويران							Region			Kaza	1867				Selânik	Selânik vilâyeti	163																																																													
DRAMA	1144	درامه							Region			Sancak	1867-01-01T00:00:00Z					Selânik vilâyeti	163	Sancak	1913				Selânik	Yunanistan																																																						
DRANOVA		درانوه								Not		Ada		Tuna deltası karşısında.			Dobruca	Romanya																																																														
DUBROVNİK		دوبروونيق	Ragusa						Region			Kaza	1440				Hersek	Bosna		Kaza	1814					Avusturya	Kaza						Yugoslavya	Kaza					Bosna-Hersek																																									
DÜĞER		دوگر							Region			Kaza	1811				Menteşe	Aydın eyâleti	104	Köy				Kemer	Fethiye	Muğla																																																						
DÜĞER		دوگر	DüĞerli						City			Nahiye	1867			Merkez	Urfa	Halep vilâyeti	129	Köy				Ovacık	Hilvan	Şanlıurfa																																																						
DUKAKİN	1555	دوقه کين	Ducjean						Region			Kaza					İşkodra	Rumeli eyâleti	156	Sancak	1520					Rumeli eyâleti	Sancak		Dukakin aslında bir hanedan adıdır. Şimdi Arnavutluk’ta Dirin nehri kenarında bir nahiyedir. Arnavutluk fetholunduğunda bu aile Müslüman olmuştur. Leş=Lezhe kazası eski Dukakin sancağının yerinde kurulmuştur.				Arnavutluk																																															
DUKAT		دوقات										Köy		Arnavutların bir kolu olan “Laplar”ın merkezi hükmünde büyük ve tarihi bir k.ydür.	Paşalimanı	Avlunya	Berat	Yanya																																																														
DULÇURAN	1145	دولچوران							Region			Sancak	- 1830					Şehrizor eyâleti	161																																																													
DÜLEYM	1146	دليم	Kal’atürremad						Region			Sancak	1855-01-01T00:00:00Z					Bağdad maa Şehrizor eyâleti	107	Sancak	~1860					Bağdad eyâleti	Kaza	1867				Bağdad	Irak																																															
DÜLGE		دولکه							City			Nahiye	1855			Merkez	Revandiz	Bağdad maa Şehrizor eyâleti	107																																																													
DULKANİ		دلکانی							Region			Nahiye	1855			İmadiye	Musul	Van eyâleti	175																																																													
