Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
ACARETEYN	1001	آجارتين	Acara-i Ulyâ ve Acara-i Süfl.		ACARİSTAN				Region			Sancak	1577-12-22T00:00:00Z					Çıldır eyâleti	119	Kaza	1828				Batum	Trabzon eyâleti	Kaza	1878				Batum	Rusya	Kaza					Gürcistan	Özerk bölge					Gürcistan																																			
ACIGÖL		آجی گول							City	Republic of Turkey		Nahiye					Merkez	Nevşehir		Kaza	1990					Nevşehir																																																						
ACİLAT		عجيلات							Region			Kaza					Trablusgarb	Libya																																																														
ACIPAYAM		آجی پايام	Asikaraağaç, Garbîkaraağaç						Region			Kaza	~1530				Hamid	Anadolu eyâleti	101	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																															
ACIPINAR		آجی پيگار							City			Nahiye				Aksaray	Niğde	Konya vilâyeti	144	Nahiye	1933				Aksaray	Niğde	Nahiye	1989				Merkez	Aksaray																																															
ACİR		عجير							Region			Nahiye				El-Hufûf	Necd-i Şerif	Basra																																																														
ACISU		آجی صو							City			Nahiye	1865			Zile	Tokat	Sivas vilâyeti	166	Köy				İğdir	Zile	Tokat																																																						
ACLUN	1002	عجلون							Region			Sancak	16. yy.					Şam eyâleti	159	Kaza	1865				Havran	Suriye vilâyeti	Kaza	1964				İrbit	Suriye																																															
ACLUN VE SALHAD	1003	عجلون وصلحد							Region			Sancak	1516-12-22T00:00:00Z					Arap vilâyeti	103																																																													
AÇMİYAÇİN		اچمياچين	Etchmiadzin						Region			Kaza		Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.			Erivan	Ermenistan																																																														
